asin,title,author,author_asin,narrator,publication_datetime,release_date,publisher_name,length,category,mp3_excerpt,overall_rating,overall_num_ratings,performance_rating,performance_num_ratings,story_rating,story_num_ratings,num_reviews,price,series_asin,series_name
B005AOMPZY,The Caller,Karin Fossum,B001I9VY66,David Rintoul,2011-07-07T16:33:10Z,2011-07-07,Penguin Audio,430,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/rhuk/001052/bk_rhuk_001052_sample.mp3,3.9,177,4.3,147,3.8,149,12,14.52,,
B00JEMM33C,13 Phantasms,James P. Blaylock,B000APVTF0,James Gillies,2014-04-18T07:00:00Z,2014-04-18,Audible Studios,685,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/016249/bk_adbl_016249_sample.mp3,3.8,6,4.4,5,4.0,5,0,20.72,,
B071V7CQFK,Meet Me in the In-Between,Bella Pollen,B001HCWYEA,Imogen Church,2017-05-18T07:00:00Z,2017-05-18,Macmillan Digital Audio,598,Biographies & Memoirs,https://samples.audible.com/bk/macm/001097/bk_macm_001097_sample.mp3,0.0,0,0.0,0,0.0,0,0,14.51,,
B07K6XD65L,Media Darling,Fiona Riley,B01EXRSWTQ,Lori Prince,2018-11-14T12:44:00Z,2018-11-14,BOLD STROKES BOOKS INC,663,LGBTQ+,https://samples.audible.com/bk/acx0/132685/bk_acx0_132685_sample.mp3,4.7,452,4.8,424,4.7,424,41,24.95,,
B087YRXBK1,The Guild of Assassins,Anna Kashina,B001K7RHN0,Genevieve Swallow,2020-05-06T22:54:00Z,2020-05-06,Anna Kashina,811,Romance,https://samples.audible.com/bk/acx0/194596/bk_acx0_194596_sample.mp3,4.8,4,4.8,4,4.8,4,0,23.39,B07P611GGN,Majat Code
B00C3GZ8Y2,The Hotel on the Roof of the World,Alec Le Sueur,,Steven Kynman,2013-03-30T15:04:00Z,2013-03-30,Audible Studios,583,Biographies & Memoirs,https://samples.audible.com/bk/adbl/011889/bk_adbl_011889_sample.mp3,4.3,39,4.3,34,4.3,34,5,16.36,,
B0748YDYM3,Wyoming Range War,John W. Davis,B001KIPEQ6,Greg Walston,2017-07-28T11:11:00Z,2017-07-28,University Press Audiobooks,682,History,https://samples.audible.com/bk/acx0/092100/bk_acx0_092100_sample.mp3,4.1,44,3.7,38,4.4,39,4,24.95,,
B00D8EN4KS,Grey Dawn,Clea Simon,B000APUNRK,Tavia Gilbert,2013-06-07T16:37:00Z,2013-06-07,"Dreamscape Media, LLC",534,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/drms/000230/bk_drms_000230_sample.mp3,4.5,2,5.0,1,5.0,1,0,14.03,B00GJWFUOE,Dulcie Schwartz
B07B3Q62HL,The Retreat,Michael Jones,B0748JC34F,Simon Shepherd,2018-06-21T08:00:00Z,2018-06-21,John Murray,719,History,https://samples.audible.com/bk/hodd/001908/bk_hodd_001908_sample.mp3,4.6,57,4.6,50,4.6,48,3,15.98,,
B004HGRSU8,No Wings to Fly,Jess Foley,B0034P1C2I,Patricia Gillmore,2010-12-29T10:39:00Z,2010-12-29,Penguin Audio,1262,Literature & Fiction,https://samples.audible.com/bk/rhuk/000760/bk_rhuk_000760_sample.mp3,3.4,5,4.0,4,3.4,5,0,18.88,,
B01F48D4UA,Heir to Kale,K. L. Bone,B00EKEDIS8,Cassandra Nuss,2016-05-04T17:24:00Z,2016-05-04,K.L. Bone,627,Science Fiction & Fantasy,https://samples.audible.com/bk/acx0/058489/bk_acx0_058489_sample.mp3,4.2,13,4.3,12,4.3,12,6,24.95,B01J4E9DMS,Rise of the Temple Gods
B086KM9MX9,The Wealth of Nations,Adam Smith,B000APTFBA,Philippe Duquenoy,2020-04-01T20:36:00Z,2020-04-01,Goffin Media,2206,History,https://samples.audible.com/bk/acx0/189165/bk_acx0_189165_sample.mp3,4.9,12,5.0,11,4.7,11,0,29.95,,
B07S8YQ92M,Ethic 3,Ashley Antoinette,B002FZTPJA,Trei Taylor,2019-05-30T15:12:00Z,2019-05-30,Griot & Grits Audio Co.,515,Literature & Fiction,https://samples.audible.com/bk/acx0/153251/bk_acx0_153251_sample.mp3,4.7,3911,4.6,3413,4.6,3417,455,19.95,B07JZ19G7F,The Ethic Series
