asin,document,label
B079SPVPKD,the sea broke out in prayer and began to recite the five sorrowful mysteries of the rosary hail mary full of grace the lord is with thee blessed art thou amongst women and blessed is the fruit of thy womb jesus as one the watchers returned her chant the tight single bedded room no bigger than a prison cell filled up the song of voices overwhelming the stuttering rhythm of sonny's lungs holy mary mother of god pray for us sinners now and at the hour of our death the south sound boomed off the ceiling off the whitewashed walls the concrete floor the glass cover of jesus our savior reverberating louder and louder filling every orifice hail mary full of grace the lord is with thee blessed art thou amongst women and blessed is the fruit of thy womb jesus holy mary mother of god pray for us sinners now and at the hour of our death verse after verse prayer after prayer keening for years as a child in one gloomy catholic church after another i recited that prayer running the words together like a hollowed verbal conjuring trick until i could say holy mary mother of god pray for us sinners now and at the ara death in four seconds flat words breathed but emptied of meaning now i was home on the island off the coast of ireland's poorest county mayo and the farthest western reaches of europe for the hour of this death home on an island of elemental fury a rock citadel in the great ocean where huge atlantic storms break on shore scouring the landscape and destroying everything not anchored down the wind howling wailing car door wrenching at night as you lie in bed awake the storm surging in assault striking at the rattling roof the shaking windows to suck you out every living soul within up into the maelstrom the great ocean one hundred yards away was alive and malevolent the surf a cascading white fury the waves lashing every headland surging turning daring you close enough to capture you for the debt my godfather a shepherd and two of his companions were swept to their death rescuing sheep on what had started as a clear winter's day and with the wind comes the rain bucketing drenching rain for months on end swallowing the ocean the air the hills the horizon in a biliary gray stinging assault pouring pouring from the sky in deluge black mile high sheets of falling water sweeping in from the western horizon bursting on the sodden earth before roaring back down heather hillsides into the ocean the sky to another vast ocean often gray or darkening black with rain laden clouds but sometimes pink scarlet red or blue or shimmering with light a sun lands pillars of gold brushed through an overcast sky onto grey waters or the air filling up with miss showers and the whole world see sky earth glimmering back in a mirror of silverlight and then there are days when the sun blazes as a god chariot rising from behind men on mountain over the ocean in a great arc before descending in a blood red orb into the ocean behind crone mountain yellow lilacs rocket skyward from the bog and meadow sway with golden buttercups and white daisies the sea turns green glass the wind stills and dolphins leap in surf so close to shore you could easily swim out to them like a smoky perfume the smell of peat turf laser he drifts over the village and the blue eyed sheepdogs of duca nella deliciously spread themselves on the tar and gravel road to cool their molten bodies as sonny lay dying we had another kind of weather humid hazy days the entire village consumed and see mr we were unable to see further than the garden gate oh land sea,1
1982617519,hadn't expected to say this i couldn't possibly win if i called pluto shrugged in a way that conveyed some astonishment showdown the dealer reminded us i nodded at buddha who had to show his hand first it's last to aggress that's the rule he turned up his cards pocket nines for fucking pair i tossed my own cards face down and hit the muck the other discards said the dealer couldn't be sure which cards had been mine if any one demanded that he show them was that someone asked somebody else started laughing on the board there was a king there was a jack this would normally mean that a player staying in the hand would at least have to two kings are two jacks but having lost those knives i'd obviously had almost nothing what could have caused me to re raise back there what could have caused me to call new cards had already come the time was very late close to noon i'd been ingesting on an hourly basis a seven or eight thousand calorie drink called a strawberry julius house specialty at the bellagio non alcoholic and loaded with sugar and my body felt sickly and ravaged something like an inflatable sex toy paul whose air has gotten squished out to the violent love i thought i might easily vomit pass out have a heart attack or shit everything was screwy and my pride was crushed why play poker it symbol poker is a shit game and the people who play it are shit not to say there isn't skill involved but look what is the source of the money the sources the fish the sources the krill or the plankton least protected of the fish people gone loopy like arguably i have at present they form the basis of what eldest kaufman terms the poker economy and their money gets taken by the bigger fish who in turn pony up to the sharks the chain of law strokes with the sickest really with the degenerates low sadiq those that's the foundation here and it's fucked that's whose money you're gambling at bottom a poker pro is in the moral position of a casino manager feeding off the weakest of the weak but here at the nine eighty teen among the wannabes hilarity prevail in a sense that was the draw the hilarity you could barely buy groceries for the size of these pots you could barely win a dinner at mcdonalds here yet the so called serious players on this game dreamed they could be pros and if they did someday become pros morally they would be doomed it was hilarious to me why a vile fucking aspiration here i was slumming a real pro hustler unbeknownst to these clowns with ball cap low on my face surveillance knew as well at the bellagio they would tolerate our presence in the poker room though occasionally the one woman jane durrell who was kind of high up and had a tendency to get excited would stop by to watch as we played became semi disguise to deny her the opportunity for good photographs now i was doing this thing i was mad the peons weren't acting with deference i opened my pants under the table i'd folded a hand but already in front of me there was another reaching under my waistband i took hold of my overstuffed ma money belt unzipped and was touching a strap with my right hand i lifted my cards jack for there's potential no i thought no i tossed them where the dealer could reach his eyes hitting mine i took the opportunity to ask cash plays on the table that's right thank you i pulled a five k strap from the belt silently i set it on the table pluto saw it instantly but no one else had it was an excessive chunk of change for these steaks you normally buy in for four or five hundred and nine eighteen hold them i felt like i'd brought an actual working lightsaber to a second grade show and tell i came into a pot raising people were starting to notice the money in front of me silence stretched over the table i lost the hand had to back out of but something had shifted by now my fellow players weren't sure what to make of me i had depth they could see a normal person when he's on tilt then he has five gs won't merely stay put at the lowest stakes game in the room he'll try something bigger not this guy another hour came and then another hour came i had new poise for some time and i was deliberative in my decisions i want a couple hundred then lost it the result would form a sine wave of someone were to graph how it flowed the roster of opponents kept changing the julius as came i was passing a chip to the waitress my body felt light like a sail time was the wind i imagined it blowing forever they give you a key jimmy said me are you kidding i dunno he coughed and laid into the doorbell we were standing outside the apartment early evening in the temple,1
B003SAZ1GW,plan and take it in doses and you'll get hooked on the benefits the hardest thing to do is just get started it takes change and sacrifice it takes walking away from your comfort zone and changing the way you view your job it takes personal growth that raises your self esteem is up to you to decide when to start and what to do there are plenty of strategies in this book to improve your attitude but first and foremost it's self help now if all this seems obvious that's great what books have you read tapes have you listened to or seminars have you attended lately to beef up your attitude knowing what to do as easy doing it is tough if you've been doing it keep it up if not get started and quick taking the time to fortify and grow your attitude takes a refocus on daily priorities and disciplines you can't wait to find the time to do what's most important you have to make it it's up to you eu to start making the time grave diggers if the first step to changing your thinking and attitude is fortifying your mind with motivational ideas and thoughts the second step is being selective and protective of the other daily influences flowing into your mind on a minute by minute basis growing and maintaining the right attitude as as much what you keep out of your the mind is what you put in it this book has a series of disciplines to keep you focused on your success all of these steps work especially when cumulated together and used on a consistent daily basis they will take root faster and create more value if you keep the grave diggers away grave diggers are forces we encounter every day that slow our progress and have the potential to wipe it out completely we call them grave diggers because they have the ability to bury your career your future and ultimately bury you alive soon after anyone begins to get ahead and rise above the crowd grave digger zero in and begin to tear down if preventive measures aren't taken first let's identify characteristics of grave diggers and their actions at every workplace in the world there are negative people possessed by negative attitudes living mostly unimed inspired and miserable existences they go to work to wait for something to happen in their careers and in their lives for the most part they have no goals little ambition and spend most of their time justifying being average by blaming everyone and everything else based on the way they criticize and find fault you'd think they were being paid for it to all outward appearances they seem to be pretty nice folks on the inside though they're miserable misery loves company and if anyone starts to excel or pass them by grave diggers turn into piranhas chewing them up and trying to bring them down to their level this group would rather dish discuss then decide anything they'd rather study the race than ever join the race they're filled to the brim with excuses to explain away their lack of achievement they think that everyone more successful than they are has had all the breaks and are content to wait indefinitely for theirs to come most of this group shows up at the job every day without a visa then a plan or a peep of what might happen that day they hold their breath rely on what cards they're dealt hoping that one day four aces might just show up for the most part they know they're going nowhere fast in life but they're more comfortable with old problems than they are with new solutions new saloon oceans would mean change and grave diggers are so blinded by the cost of doing something change that they lose sight of the cost of doing nothing the cost of doing nothing is staggering both for the grave digger and for the company employing them to do it we sometimes make the mistake of believing that if we don't actively associate with grave diggers at work and just listen to but don't partake in their cancerous conversation or actions they were safe from their effects after all we don't want to offend anyone and what harm is there if we just nod sympathetically while they rattle off their negativism passively listening to their gossip and self justification surely that's not hurting anything wrong just being around grave diggers is subliminal poison for the attitude it's like secondhand smoke just being in the same room with it can make you sick it gets anya in your clothes and into your hair and lungs even after you leave the smokey area you still have it on you and in you you smell like someone else's problem even though you weren't the one smoking it's a proven fact that secondhand smoke will eventually kill you grave diggers eventually kill your career and your future look for a support group,0
B01N4KZCKO,the flying father they called him and boy was he flying now he risked a quick glance at his special watch and felt a thrill as he took in the figures his split times were amazing this morning surely a personal best stick this in your pipe and smoke it lim he thought pace eight miles an hour heart rate a tad high but surely nothing to worry about three more kilometers out of ten left to run but they were the easy three flat along the riverbank by the meadows only the hard uphill dogleg through march means woods could possibly slow his average now days like this when the running was fly ooo it easy effortless were rare and unpredictable no amount of training made them happen more often they came out of nowhere and he knew by now not to question them just enjoy this feeling he thought for it is a gift from god and he's not been giving much to me lately if only liam could have joined him this morning liam understood the numbers liam would have shared his joy ah well if liam cannot be my witness then it shall have to be god amun thought god is infinitely good and what a weekend to celebrate his goodness in just an hour's time shower our shaved his mind emptied of all matters of the flesh amen would be celebrating good friday mass with the nuns at the church of st francis good friday the most solemn of days in the christian calendar and yet the harbinger two of the most joyous day easter sunday many time times over the years he had questioned his calling his faith he'd not been the only one to do so either indeed the bishop recently seemed to have made it a personal ambition to have aim and defrocked but each time one of the great landmarks of the ecumenical calendar rolled around easter christmas day palm sunday the thrilling drama and mystery of the event reminded him that the priesthood was the only life he could ever lead although in truth at times it seemed he lived two lives as a priest on the one hand the shepherd of his flock ministering to their every spiritual need and on the other the flying father of the internet tunnel marathon circuit raising hundreds of thousands of pounds for the poor and the needy and the lost and then of course there was that her other life he lived the secret life he kept so tight so close that few if any knew of it god is forgiving he also believed but no now is not the time to think of that he emerged from the trees and turned hard right onto the gravel path which ran alongside the river the air down here smelt sweet and clear he lifted his head high to take in the beauty of the spring morning the sun had only been up an hour and the meadows sparkled with juve miles up on the far hill the village sheringham slumbered still a late lie in being taken by one and all on the first day of the holiday weekend he could see the cotswold stone of the houses glowing warm in the rays of the rising sun he heard a sound behind him on the river and still running turned to see a pair of swans coming in low to land in the way water by the moored barges the birds seemed to hang in the air beside him and for a brief second he thought he could feel the thread of god's creation binding his own running figure to the swans to the waters to the meadows and the orange rising sun then the swans hit the water and he pushed his pace higher and left them behind his body felt on top form this morning the muscles of his legs flexing painlessly his breathing strong and unforced sixty two years old and fitter than half the men in sheringham he thought the drugs he was on for his heart were a miracle indeed but a scientific one no matter what stresses he faced there was no danger now of repeating that awful moment last autumn when he'd felt his chest lurch and his pulse race and he'd heard the communion chalice crashed to a stone at his feet and it had all gone dark no science was keeping him alive though of course the almighty had a small say in that too is this what it feels like to be truly happy he thought i sure as heck don't deserve it as his feet pounded a rhythm on the muddy towpath he tried to corral the worries that had plagued him this last week that had woken him each morning in a cold sweat and forced him onto his knees on the hard stone of st francis his church to pray for guidance they're like demons,1
B005SUYVYI,advanced learning courses for business success make a decision right now that you are going to become one of the best and most effective business people in your industry you are going to listen to this program who watch the video lessons complete the exercises and then continually take action to achieve more and more of your goals again this is brian tracy and welcome you are about to embark on a wonderful adventure and learn how to achieve all your personal financial and business goals in the exciting months and years ahead let's begin right now we're going to talk about the keys to entrepreneurial success and how you can incorporate them into everything you do in your new business or your new business idea zig ziglar once said that a goal properly set is halfway achieved and that's true for you there are about ten million millionaires in the united states now and most of them are self made fully eighty percent of these millionaires a cheap their wealth from starting and building successful businesses or by selling for a new business and what hundreds of thousands and millions of other people have done you can do as well not long ago in dallas a young entrepreneur told me that he hadn't known one of these ideas and that ignorance had cost him eight years of frustration fruitless effort and more than one hundred thousand dollars in lost money a young man from tampa told me he began listening to these ideas on cassette when he was a employed and living at home today he's a millionaire with businesses in three states a woman in sacramento told me that she started using these ideas when she was divorced and broke today she has a company with thirty two staff a new husband a beautiful home and a big bank account i have personally paid dearly to learn these key lessons after working for different companies for fifteen years i thought i was ready to start my own business so one day i just did it that was probably the only thing i did right at the beginning getting started over the next two years i spent or lost everything i had acquired in my adult life i learned to sell again i sold my house i sold my car i sold my furniture and everything else that anyone would pay me for i borrowed from my friends and family to put food on the table for my wife and two little children there then i got smart i began asking why is it that some businesses are more successful than others i set out to find the answers the real answers i read everything i could find and tried it out i listen to audio programs and attended seminars i asked for advice from other entrepreneurs and applied that advice to my business gradually i turned my business around today i have a multi million dollar business with activities in seventeen countries i live in a beautiful home and a golf course in san diego in the last twenty five years i've taught these principles to the executives and staff of more than one thousand companies and the owners of more than ten thousand small and medium sized businesses for from small entrepreneurial businesses to fortune five hundred corporations what i have proven that these ideas are simple and easy to apply individuals and organizations that apply these strategies increase their sales and cash flow reduce their costs and boost their profits sometimes in a matter of weeks action is everything what you're about to learn can help you more than anything you could imagine when you take these ideas seriously and put them to work you've heard it said that eighty percent of new businesses fail in the first two years well ninety percent of businesses started by people who know what they are doing are still going and growing five years later this should be your goal as well this is the age of the entrepreneur more people are starting the more businesses in more fields today than ever before in all of american history and what other successful entrepreneurs and business people are doing you can do as well if you just learn how remember this successful business people are not smarter than you are and they're not better than you are they are usually just ordinary people who have figured out how to do it right before their competitors did let's review some of the very best ideas that you will learn in business startup success made simple number one decide exactly what you want the most important work and success is clarity you must be absolutely clear about what you really want from your business,0
B00CFQJ8SM,give england's online historical inflation calculator and with a dollar equivalent on the rough basis of a dollar fifty two a pound it must however be remembered that these are merely indicative sums over the centuries inflation has been much greater for some things than others prologue captain harvest as carpentry this is a watercolor of lyme regis on the southern coast of england the cottages nestled on the hillside an old stone breakwater leads down to the shoreline a man and a woman are walking on the beach and a solitary figure is looking out to see a rowing boat is on it's way out to us shepherd anchor in the bay the eye is drawn to an expansive view of sloping cliffs and open sky jane austen loved the sea the story goes that when her father announced in december eighteen hundred that he was leaving his position as rector of the parish of stephen ton and retiring to bath she was so shocked that she fainted she reconciled herself to the move only when the family promise to take a holiday by the seaside every summer in eighteen o one and eighteen o two they went to sidmouth and ten myth in devon in eighty no three and eighty no four it was the turn of lyme regis the young people were all wild to see lime when they arrive in chapter eleven of persuasion jane austen describes the little seaside resort in the style of a tour guide the pleasant bay the newfangled bathing machines the famous cobb the beautiful line of cliffs stretching out to the east of the town the charm of the immediate environs the high sweep of countryside around charmouth the woody varieties of the cheerful village of upline and above all pinney with it's green chasms between romantic rocks a scene so wonderful and so lovely as exhibited as may more than eek will any of the resembling scenes of the far famed isle of wight these places must be visited and visited again to make the worth of lime understood jane austen tells her readers she had visited lyme at least twice on one occasion witnessing a fire that destroyed a number of houses when she describes the place in her novel she is visiting it yet again this time in her imagination her description is the literary equivalent of the engravings of popular tourist sites that were readily obtainable in the burgeoning print market of the age the regency version of the picture postcard jane austen cared a great deal about accuracy she wanted her novels to be true to life when reading a draft of a novel by her niece anna she pointed out that it was an error to portray people in dawlish gossiping about the news from lime lime will not do lime is towards forty miles distance from dawlish and would not be talked of there her novels were grounded in the real world in order to create them she drew upon the reality that she knew the people the places the events the celebrated fictional scene in which louisa musgrove nearly dies when being jumped off the narrow steps of the cob is not based on a real incident but it could not have been written if jane austen had not visited the real lime and memorized it's typography the picturesque descriptions of the romantic rocks of lime is not however her most common style and in this case her passion for the sea perhaps led her to idealize the reality of the place i was disappointed in lime wrote her sister-in-law mary to that nice anna as from your aunt jane's novel i had expected as a clean pretty place where as it was dirty and ugly the fall on the cob the bad tempered exchange at box hill the escape across the haha from the grounds of sotherton the road traffic accident with which her final unfinished novel begins outdoor scenes in austen's novels are often dramatic excursions involving me us adventures transgressions arguments misunderstandings proposals whereas her habitual location is indoors within the world of polite if barbed conversation in drawing rooms,1
B01M1ORYM3,to some extent that's the reason i have to ride my novel so quickly after a few days what i call the state of grace threatens to abandon me and my characters whom i believe to be very much alive the day before suddenly have become strangers i have just spent nearly a week with the photographer and editor for image then with an english journalist the superiority of photographers to most journalist i've often observed them when at cannes for example lady send in a bunch almost in a swarm on their victim they seem hard cynical almost cruel they offer an hour and a roar shots demanded of them they're used to all kinds of dramas and above all to all sorts of truths actually they do have a good deal of contempt for their victims a false smile a studied pose fake nonchalance and phony sincerity don't deceive them perhaps that's the reason why they can appreciate the truth better than anyone else so they really seem grateful when you don't try to fool them to give them a chance not to be tough the match photographer who lived four or five days in the bosom of my family had not known me before he came but left as an old friend the writer theoretically more cultured but who managed to ask hundreds of impertinent questions came to do his work no more and add an article a victim to his collection why do we receive them and give them our precious time when we might be relaxing not for reasons of publicity for these always inaccurate articles risk wearing the reader out and even little by little turning him against an author still less out of vanity i don't mind explaining myself to a man who is trying to understand and whose opinion means something to me but that isn't the case with ninety nine percent of those journalist especially magazine editors give it a beginner or a freelance writer for whom this article could be important i'm sure to remember my own beginnings and give him his chance but what about the others so thoroughly smug who think they know it all that they are judges of everything can solve all questions they arrive at an author's house having read only a few of his books some time ago or even having read only one on the train or the plane each time however i have hope a hope of finally correcting legends destroying exasperating myths getting rid of continuing untruths there is none i always answered the same questions and i end up feeling sickened how does the idea for a novel come to you then what do you do what time do you begin writing on a typewriter or by hand how many hours a day how many days her now i in turn must ask myself a very disagreeable question for thirty years now since the beginning of the migrate i have given the same answers for they have to be the same if i were suddenly to declare which would be untrue that i begin to write at midnight or that i dictate my old answers will be printed just the same names from the telephone book index cards outline on a yellow envelope the coffee i make in the kitchen i follow this whole routine because i believe it is necessary if i am to set off the mechanism so much so liberties become a superstition and if like the readers of magazines i too am a victim of legend if i have begun to believe in it by the sheer force of seeing it in print what stops me from writing at eight o'clock in the morning instead of at six or six thirty from not writing a whole chapter at a sitting the proof that it's possible is littered can when i was convalescent and unable to follow my routine i wrote lewis entirely by hand several pages in the morning several pages in the afternoon without worrying about the length of the chapters and without making myself read copy them on the typewriter afterward to give my sentences a sterner rhythm it wasn't i but my wife who typed glofish and this novel is no worse than the rest it isn't even different from them then why did i go back to my routine right afterwards because of saying over and over that this bothers me i'm tempted to escape the rules i have imposed on myself isn't it stupid not to dare the ritual i've adopted is as strict as the mass i don't know why and i've tried to explain it because i've been asked to do so i've succeeded so well at it i've proved so many times that it was necessary,1
B00R3JAT8O,when his pilot's license flying almost every weekend with his boss the albuquerque weather was ideal for ballooning much of the year with prevailing winds creating a phenomenon known as the box surface breezes typically blue one direction upper elevation winds blew the other a current caused by temperature inversion and the geographic features of the valley with mountains on the east the big mesa on the west a skilled balloonist could make use of the conflicting winds to take off and land in the same general area avoiding an embarrassing trespass of private property or a nightmare descent in harsh terrain dan like to be in the air as early as possible before the warmth of the sun stirred the wind so we rose on a saturday morning before dawn and dressed in haste a pot of coffee made on a timer awaited pouring into a thermos all other preparations that occurred the night before the air outside was brisk scented with the unmistakable tang of the desert in winter the horizon above the mountains had begun to glow like a coal four of us got in the truck and set off we each took a turn at the thermos i looked out the window at the pale naked earth my stomach felt sick from strong coffee and lack of sleep i'd never been much of a morning person another way in which dan and i differed dan turned the truck off pavement and followed a two track road a rooster tail of dust rising behind us in the middle of a mesa he found an opening in which to park and everyone set to work as if they'd done this a hundred times which in fact they had a mechanical ballet involving earth wind and sky though though i did not fully grasp it yet i helped my aunt ruth lift the wicker basket out of the truck bed my uncle robert ready the gasoline powered fan dan unroll the envelope of the balloon on the face of the mesa securing it to the basket with a series of cables once robert had the fan running dan pointed it at the mouth of the balloon the air volo began to fill with cold air and he tugged on the cloth here and there to keep it from snagging as the panels of yellow red and blue fabric rippled like a flag and a big wind i stood back watching silently feeling useless and a little bit odd i wanted to offer help but i didn't know how oh and dan gave no sign that he needed any so i stood with my hands in my pocket trying to stay warm trying to look ready but not too eager dan lit the propane burner mounted above the basket he fired off a horizontal sword of flame slowly warming the air inside the balloon the burner roared then went silent roared and went silent no one said a word the balloon slowly stretched taught everyone laugh looked up at the balloon and a sky beyond it the sword of flame now and then appearing the balloons mouth until the silken bubble swung into place overhead get in my aunt ruth yelled as a gust of wind came up the first of the morning the urgency in her voice jarred me from my reverie no time to grab the two way radio for contact with the chase truck no time to grab my camera to document the moment no time to waste if i didn't want to miss the ride i got one leg over the edge as the basket made a lateral hop it came to ground with a thud and hopped again and i feared i'd lose my balance and tip over the side dan was working the burner trying to achieve the requisite heat for lift off and i had one hand on the baskets edge and one hand raised behind my head like a bull writer for balance waving a frantic goodbye to the ground or what i hoped was good bye and not hello for in that moment it could have gone either way dan grabbed the collar of my jacket and pulled hard yanking the end of the basket with him for a second i crouched at his feet breeding with quick little rasps of fear at how close i'd come to missing the ride he looked down at me and laughed shook his head he hadn't expected a sudden wind and admitted as much still he couldn't resist a poke at such an easy target way to be quick on your feet he said after a two beat pause he added you might want to stand up for this i rose and looked down at the world we were leaving behind ruth waved off at us a stick figure receding on the mesa the mesa itself shrank to the size of a tabletop than a postage stamp the whole of albuquerque slumbered in the cold light of sunrise the dun colored earth and scribe arrived by the valley of the rio grande a gray thread curling through the city seer,1
1786895862,gave a splash of color against the grayness of the settlement a pallid cluster of small buildings dwarfed by the steep island hillside rising directly behind carey's home could not have been more different to his she was half estonian half russian and was raised as a brooklyn catholic from a family of successful doctors he was a native eskimo from the diane made islands which lay at the very edge of american territory and where family held a looser meaning her father was a top cardiologist her mother a gynecologist and carrie became a trauma surgeon rake had no idea where his mother or father were good barely remember their faces he had been raised by joan and henry envelope his father's cousins as soon as rake was old enough he had joined the alaska army national guard from the lowest rank of private he broke through to reach captain in the two hundred and seventh infantry group based at fort richardson outside of anchorage better known as the elite unit of eskimo scouts perfect for deployment to mountain winters in afghan janice stan which was where a sensible girl from brooklyn fell in love with a wild boy from the dire meads at least that was how they told it the friends kerry and rake met over a car bomb in kabul it was more than ten years since rake's last visit to little dyer made jumbled images came to him of this place he knew so well and wished he could understand since then there had been iraq afghanistan the philippines iraq again afghanistan again and now he had kerry who had settled him drab clambered home stood on layers of walkways one above the other up the steep slope the helipad a rough concrete square jutted out from a coastline of huge boulders to the left stood rake's old school it's green walls and snow covered roofs shimmering under clear moonlight three sti we'll dinghy boats were pulled up on the ice shingle of a tiny bay rake spotted the one belonging to henry in front half a dozen snowmobiles stood on the sea ice and further along was the old abandoned one that rake had ridden the night a polar bear had threatened the village in the wildlife magazine polar bears were made to look majestic up close they were dirty dangerous eating machines henry rode out on the snowmobile with his two surrogate sons rake and dawn on dola and showed them how to track and kill the animal that morning the whole village had walked across the ice to carve off meat and store it for winter dawn got the hide because he was two years older he had been like a brother to rake but now he had gone mad was serving time for murder which was why the emergency radio call was so troubling agnew was his daughter kerry knew some of this but not all break had told her about the hunting of walrus seal and polar bear the isolation the winter darkness the summer light how the eskimos had lost their language because the school only taught in english how men away hunting had asked friends to look after their wives in their own bay beds in a practice called wife sharing which is why eskimos weren't so good at doing the mom pop and three kids nuclear family thing how missionaries had tried to change them but without much success and had given up and were now gone from the island that had made kerry laugh he told her about the sacred ancestral graves on the hillside and how he could read the weather by the way the birds flew around the island gary loved all that but she was no fool she would figure out the whole picture for herself once they got there he hadn't reckoned on her starting even before they landed from the helicopter window he saw henry step out from a hut next to the old wooden church on a higher walkway it used to be dan's house house rake didn't know who live there now henry was more than sixty years old but skilled with his boots on the ice faster than many men half his age he started down the walkway to meet them the helicopters shuddered against a brutal surge of wind she was a bell to fourteen s t an old military transport warhorse probably from iraq maybe even vietnam there were straps and buckles to lock in a stretcher to if needs be kerry would insist on flying with acne to gnome she wouldn't have it any other way which meant rake would go to so ten minutes on the ground they would come,0
B00CD8YBP2,tilda pulled her cell phone out to dial sandra his number but the line was busy at least she's home i hope she doesn't go anywhere before i can get back there she looked out the window into the snow inside once more into the breach dear friend i'll walk with you there that's okay no reason for you to go that far out of your way and then still have to get home but it's my fault for leaving the camera so you can buy me dinner next time are you sure in response she shoved him in the direction he needed to go and said good night cooper before heading outside into the muck the temperature had dropped while they'd been eating dinner and the snow was falling even more heavily tilled his commentary as she trudged would have been wildly unsuitable for cow town she was tempted to grab a cab even if it would put her in the hole for the store sorry but naturally there were none in sight so there was no choice but to walk she tried to call sandra again along the way but the line stayed busy finally she made it back to sandra is building and was about to ring the bell when a delivery man on his way out pause to hold the door for her after her stamping her feet to shake the accumulated snow off of her doc martins she went to sandra store and knocked there was no response surely sandra hadn't gone out since she tried to call last besides hadn't she said that she was expecting company thing tilda knocked again harder and when there was no answer pulled out her cell phone to dial sandra his number yet again it was still busy so presumably the woman was inside but tilda didn't hear sounds of conversation now she pounded on the door but there was still no reply and when she checked the door knob she fell found that it was unlocked hesitantly she pushed the door open and peered inside the room sandra the first thing she saw was the telephone when she'd been there before it had been on the desk next to the computer now it was on the floor with the receiver off the hook which explained the busy signal but it didn't explain where sandra was it didn't make sense like one of cooper's picture puzzles it felt as if some of the pieces had been confused somehow the only thing tilda could imagine was that the older woman had had a stroke or a heart attack and had been trying to reach the phone when she succumbed numbed so till the stepped inside and wasn't even surprised to see sandra lying on the floor face down on the other side of the couch she later wondered why she didn't panic but somehow the shock gave her the illusion of complete control since she knew she couldn't handle anything more serious than a paper cut herself obviously professional help was needed she still had her cell phone in her hand then she remembered that the police would be able to track the call more easily if she used sandra as landline so she picked it up from the floor to call nine one one in a calm collected voice she explained that an older one none had fallen ill and needed an ambulance it was only when the operator asked for details about the patient's condition that tilda actually looked at sandra and saw the blood too much blood it had run down the woman's velour top to soak into the rug and there were splatters across the couch and on the mirror or the back of sandra his head was misshapen tilled as mine stopped working and she dropped the phone and started panting in an effort to keep from screaming she couldn't bring herself to move sandra or step over her so she stepped around the couch to where she could see her face to try to see if there was any chance that the woman was still alive sandra is open and blink king eyes gave her the answer she'd already known to be true seconds later she recognized the tiny noises she was hearing is coming from the phone and went back to tell the operator that she needed the police to,0
