asin,document,label
B07MM6CM86,or that many individual contributors rely on their managers or wait for their company to spoon feed them everything they need what many are getting is simply compliance and technical aspects of doing their job but not the necessary skills to become an effective leader i've had the privilege of coaching professionals at various corporate law levels including job seekers entry level middle level and senior level leaders career coaching is needed at all levels and those who have experienced coaching have been able to learn more about themselves in turn maximizing the potential to thrive however most companies only provide executive coaching to senior level x negatives even though there is a greater need in the middle and lower level ranks the primary reason has to do with the investment in the person coaching fundamentally as a one to one practice companies are more inclined to make an investment in the personal development of senior level leaders as a way to help them enhance their skills for maximum performance on the job this affords companies and our ally and senior leaders whereas the middle levels of organizations tend to get more generic broader base training if any at all if so it tends to be more technically related rather than focused leadership skills middle level professionals also have a need to foster their skills and experiences as they're within the talent pool for senior level opportunities who will benefit from this book the person who is in corporate or seeking to get in yet not satisfied with their current job shop or feel stagnant in their role the person who wants to perform at another level and is not certain how to go about it the corporate professional who has made it into middle management yet feels disillusioned in their new role those who would like a fresh start and to reinvent themselves so they become a go two person for more strategic assignments the small business owner who has a great business idea but does not have the former leadership training for themselves or their staff those who are looking for an edge and desire to redefine him or herself to maximize their talents experiences and strengths the career professional who it like to be more fulfilled in their current role and beyond how will this book benefit you this book will inspire you to explore the heart of where you are and assist you in maximizing your potential and opportunities this book will help you to see your career in a more strategic manner it will allow you to view your career from a broader perspective ram other than from your current situation it will help you glean lessons from where you started and where you are today so you are better position for your tomorrow it will help you understand how to use each experience for your ultimate good why this book this is a career coaching book that focuses on providing inspiration and leadership development coaching is a term that is very popular in corporate environment and i'll share some background information that i read and kevin hall's book titled aspire discovering your purpose through the power of words the word coach derives from the horse drawn coaches that were developed in the town of hawks during the fifteenth century the vehicles were originally used to transport royalty but in time they also carried valuables mail and common passengers kevin states quote a coach remained some nothing or someone who carries a value person from where they are to where they want to be unquote so if you had a coach you knew you would end up at your desired destination john maxwell states in his book the fifteen invaluable laws of growth that coaches make a difference in others' lives they help them grow improve their potential increase their productivity and are essential to helping people effect positive change this is written to be a leadership career coach in book form and to help you get from where you are to where you want to be in your career part one leadership inspiration quote leadership is the capacity to translate vision into reality unquote worn venice chapter one the audacity to hope quote hope is a waking dream unquote aristotle,1
B01N7J3RQ6,country given that business and india has tended to look westwards when it comes to case studies involving brands indeed there is greater familiarity among indian practitioners with brands like apple microsoft nike dove and virgin then with local success stories this audiobook is a treasure trove of stories about indian brands that have succeeded in the face of great challenges like all good stories they carry nuggets of wisdom and learning and like the truly great stories they sometimes leave the extraction of this learning to the reader covering a diverse range of categories and contexts they are designed to stimulate thought and promote reflection the learning lies and stories of both similarity and difference in some cases readers will find situations that are analogous to the ones they encounter while in others they will find ideas that help imac legend their own context very differently under the able handling of venetia more advani who is both an experienced marketer and an engaged thinker the book that you're about to listen to will make it easy to learn from the experience of successful brands more importantly it will open new doors in your mind santos this i introduction as human beings we are born to be curious we are wired to search for knowledge ideas and patterns and see how we can use them to better our own world and the world of those around us as someone passionate about consumer insights and behavior i was always intrigued by companies that managed to create strong consumer connections by thinking ahead of their time by not following the beaten but as i grew in my career so did the urge to find out what went on behind the scenes in these organizations this book is an outcome of harnessing my long ge journey of curiosity to create a reservoir of success stories that can benefit others who are equally hungry for knowledge the idea for the book began with a simple thought in a diverse challenging and often unpredictable market like india a handful of companies are doing an excellent job of attracting consume dumas and meeting their needs as well as creating business value for themselves digging deeper i realized that most of these companies have done something out of the ordinary and in the process they have stormed and shaken up the market transforming stale categories into vibrant ones some of the these are also companies talked about in the media but most often the details are sketchy and sporadic a marketing campaign here a quote from a senior official there or sometimes an interview with the head of the company to seemingly get a preview of what's cooking inside but what emerges most often is snapshot of their market performance or the new launches that are on the way the whole gamut of thinking and work that is feeding their success engine is seldom examined what challenges they faced what internal and external obstacles became stumbling blocks what decisions were made at key junctures and what the execution roadmap that paved the way for actual performance was it is out of the need to address these very gaps that this book has emerged i felt that if the wisdom of this handful of companies could be made available to a wider public it would help many more people in turn become winners in their own spheres the stories in this book belonged to leading businesses and the people will that run them on the face of it we already recognize them as markers of success in their categories however my real interest lay in uncovering the strategies that have been undertaken to help them achieve continuous success what did they do that was against the expected how did they storm the norm to cry create fresh new categories or business models or change consumer habits permanently and did they do that right from the word go or did they have to sweat it out to become the powerful influences they are today interestingly while going through the chosen businesses along with ranjan mallik an innovation specialist i discovered that it is possible to put a method on how to learn from these brands how one can actually storm the norm we have synthesised this in the form of a framework which you can find in the afterward you could go through it after you have read some or all the stories and feel free to use it as a template to storm the norm and succeed in your next big challenge,1
B00IPNN1XW,a lifetime is embedded it does not float free it is tethered to certain decades to places to people it has a context each departure leaves a person shaped void the absence within a family the presence lost within a house in a community in society itself we go but hanging for awhile in other people's heads something we said something we did we leave a ghostly imprint on our backdrop very few people go one further and are distilled into a blue plaque on a building i began on a spring morning in the anglo american hospital in zamalek which was a residential suburb on jazeera the island in cairo's nile seventeenth of march nineteen thirty three elsewhere things were going on that would lead to turmoil in north africa in a few years' time my parents' lives would be affected and mine but they were comfortably oblivious that morning and i was tucked up in a crib the feet of which stood in tin trays of water because they had been instances of ants getting newborn babies towards the end of my own stint i find myself thinking less about what has happened to me but interested in this lifetime context in the times of my life i have the great sustaining ballast of memory we will do and hope to hang onto it i'm interested in the way that memory works in what we do with it and what it does with us and when i look around my cluttered house more ballast material ballast i can see myself oddly identified and defined by what is in it my life charted out on the bookshelves my concerns illuminated by range of objects these then are the prompts for this book age memory time and this curious physical evidence i find all around me as to what i've been up to how reading has fed into writing how ways of thinking have been nailed the can be a certain detachment about it the solipsism of writing about oneself tempered by the more compelling interest of general concerns what it means to be old but the long view does to us or for us how we mutate with our times but a report from the front line has to be just that this is my old age so i have to get personal as well as consider the wider implications of where i am now which is something i've not done before like i think most people have not paid too much attention to old age to individuals yes family friends but the status has not been on my radar gave up my seat on the bus of course feign polite attention to some rambling anecdote raise my voice repeat myself with patients avoid occasionally i fear that hazard light worn by the old slow potentially boring howard going now that i wear the light myself i'm nicely aware of the status this is a different place and since i am there along with plenty of my friends the expedient thing seems to be to examine it and report we are many today in the western world the new demographic i want to look at the implications of that at the condition that how it has been perceived and then at the compelling matter of memory the vapor trail without which we are undone and my own context the context of anyone my age the accompanying roar of the historical process i want to remember what those events felt like at the time those by which i felt most fingered the suez crisis the cold war the seismic change in attitudes of the late twentieth century and see how they are judged today with the wisdoms of historical hindsight and finally some pure solipsism one person's life as reflected by possessions books and a selection of things mine but a story that anyone could tell most of his fetch up with an identifying code,0
B072KL8WX6,written by juliet adams f c i p d technical editor marina grazier n b pss performed by katy sobie introduction mindfulness is a mental discipline that has been practised for thousands of years modern science has researched the impacts of mindfulness on health and well being for the last forty years in recent years researchers have turned their attention to exploring the benefits of applying mindfulness to the way people work nowadays hundreds of corporate organizations from google to general mills from dow chemicals to the uk parliament use mindfulness to help their employees boost their resilience productivity emotional intelligence focus and well being leading business schools now recognize that mindfulness provides the foundation for effective leadership and routinely of a mindfulness training to m b a students and those in search of new approaches to the challenges of the modern day workplace a lot of hype and myth surrounds mindful leadership simply put mindful leadership equals mindfulness plus leadership a mindful leader is simply a leader who uses mindfulness to gain deeper knowledge of himself and makes a conscious effort to use this knowledge to manage himself better taking personal responsibility for his actions and striving to be the best leader he can be mindful leaders provide calm clarity and a clear sense of direction carefully balancing the needs of the organization with the needs and aspirations of the workforce mindful leaders monitor themselves to maintain a focus on present moment reality their impact on other people and their react tions to stressful situations mindful leaders experience the reality and vividness of what's going on in any given moment without knee jerk reactions based on negative mind states such as anxiety fear or anger responding with a calm awareness and care for themselves and others mindful leadership for dummies offers a highly accessible and practical guide for busy professionals it includes all the basics you need to know such as what mindfulness is and how it works chapter one and the underpinning neuroscience chapter three it includes a full six week workplace m t course chapters eight through thirteen which you can use to teach yourself mindfulness or as a course workbook if you decide to attend the workplace empty course it includes practical guidance on improving your presence and influence chapter fourteen leading in a digital age chapter fifteen and mindfully leading change chapter sixteen for those looking for ways to introduce mindfulness to their organization you can find pragmatic advice and guidance in chapter seventeen we hope you enjoy listening to mindful leadership for dummies and that it leads to improvements in the way you work your happiness and well being about this book whatever your reason or level of engagement you'll find something in this book for you it's designed to be practical and accessible full of real life examples that you can start applying straight away for some this book will prove the catalyst for major change for others the messages in this book may be less resonant this book provides you with the information and guidance you need to make up your own mind and decide how mindfulness can help you become a better leader we encourage you to listen with an open mind and a sense of exploration in the spirit of mindfulness suspend judgment as you listen and experiment with some of the concepts and techniques described in this audiobook and then take from it what works best for you foolish assumptions when writing this book we have made a number of assumptions about you the listener you've chosen this book because you're committed to becoming a more mindful leader you have experience working in a professional role you're ready to change the way you work for the better you're just curious or even skeptical about mindfulness you read about mindfulness in the business pages of your newspaper or an article in your trade journal and want to know whether the hype is justified beyond the book in addition to the material in the print or audio book you're listening to right now,1
B00C3GZ8Y2,nowhere we chatted for awhile all i wanted to do was to leave this refrigerator room as soon as possible even the sticky heat outside will be preferable to freezing in my own perspiration i made to leave thank you for coming don't call us we'll call you said from both sides with polite hotelier sincerity and with smiles all round as i was leaving the room i casually mention that i would love to go to later as i had seen a brochure for the lhasa hotel outside her office from that moment my fate was sealed yo mean you'll want to walk in lhasa was the incredulous response to my passing remark the door was closed behind me and before i had turned round my interview was on the phone to the company's vice president i had to face him that day as the next morning i would be returning to my job in paris still wondering what i had let myself in for i entered his office and elegant apartment decorated with immense scrolls of chinese calligraphy some of the scrolls had merely a few characters messily swiped over the rice paper with a large brush it looked to me like the scribbling of a child let loose with a pot of black poster paint my host appreciating my observation of the calligraphy pointed out the red chops on each scroll that showed we were looking at works of art from great chinese masters from the chinese writing he read the names out to me and i nodded in admiration of these masterpieces wondering how much one got paid for producing these things and whether my little nieces could be millionaires before the age of ten the vice presidents swiveled pensively on his chair a sumptuous black leather swivel chair from which he made decisions every day concerning the multi million dollar chinese empire of holiday inn this was the person who would decide the future direction of my career broad shoulders a large square face with a mop of gray hair and thin wire framed spectacles added to his somber and learned appearance he nodded for me to sit down and then proceeded to scrutinize me in detail the intensity of his look and wry smile on his face were unnerving and not quite knowing where to look my eyes darted from his face too the scrolls on the wall to the spectacular view of hong kong from his window crimson and silver taxes edged along the congested streets far below us in a world which was miles away it is strange to see the world from above somehow it is a private place which humans were never meant to see like the kitchens of a restaurant or the bathrooms of royalty far below perspiring heads glimmered in the sunlight litter and fallen laundry covered every ledge and portico beneath the high rise daylight betrayed the rusting brackets of the neon street signs which crept even this high up the skyscrapers unsightly air conditioning units jutted out of the exterior a walls spewing annoying little drops of water onto the hapless pedestrians far below this last thought on the air conditioning brought my mind back to the present i was decidedly uncomfortable my had still not dried out and the vice president's gray eyes enlarged by the thick glass of his bifocals continue to stare at me penetrating my inner thoughts after several minutes of silence he tilted back in his chair and spoke with a deep slow authoritative voice so young man you are going to be sales and marketing manager you are going to spend six months a year into bed with the axe and six months a year screwing your brain turns out in hong kong how does that sound to you startled by his own question he jumped suddenly from his chair and nervously asked me not to repeat what he had just said trying to regain his composure he sank uneasily back into his swivel chair and gave me some advice on survival in china he had worked there for many years and was reputed to know the system better in any one be careful he said it is not like the western world he paused when you see a local girl just remember this one proverb you can't try the shirt on before you buy it not really certain what he was on about i nodded in agreement they will be watching you he continued remember even when you break wind they will know it be careful with these last words fixed in my mind and still wondering why i should be buying shirts with local girls i returned to paris to hand in my notice,0
B00B879Y7E,prologue concerning scandal murder smuggling highwayman coffee etc or to some coffee house i stray for news the manner of a day and from the hipped discourses gather that politics go by the weather then seek good-humoured tavern chums and play at cards but for small sums or with the merry fellows quaff and laugh aloud with them that love f the spleen and epistle to mr cuthbert jackson matthew green seventeen thirty seven robberies muggings fatal accidents interest rates it's always the same old stories the same sensationalism every day in the newspaper every day you tart and shake your head and every day you read it anyway because while the world gets seemingly wilder and more incomprehensible with each passing hour sitting down with the paper and a good cup of coffee is one of life's enduring pleasures today april the nineteenth and the year of our lord seventeen thirty seven is no different you quickly scan the front page news of shipping last on it's way way to the colonies and elsewhere pausing only for a sorrowful wince at the loss of twenty four cases of rhenish wine that went down with the hector bound for dublin out of habit you flip over to the back page here are the usual notices of new books published today a history of rome a defense of natural and revealed religion a military history of the duke of marlborough and hazare the fourth edition of the practical feria here's one that looks interesting towards the foot of the page the ladies physical directory seemingly a treatise on the weaknesses in dispositions and diseases peculiar to the female sex from eleven years of age to fifty and upwards which includes advice on treating the green sickness obstructions image druid flux is hysteric affections the piles and every other disorder or distemper the fair sex or peculiarly liable to you like the london evening post for it's politics the paper hates walpole and his whig government and you enjoy it's scathing attacks on him but it's good for news of london as well i devoured eagerly when it reaches the provinces by the stagecoach and it is that news which predominates today having done with the formalities you open the single folded sheet to it's densely packed center pages where the good stuff is a customs man seized one thousand five hundred and forty five gallons of spirits from smugglers tis almost incredible to believe what considerable seizures are daily made in many places of the country not,1
B01CYKTYNW,our technologies are racing ahead but many of our skills and organizations are lagging behind for many workers this lag predicts bad news as intelligent machines improve and the gap between machine and human abilities shrinks employers are becoming increase tingly likely to hire new machines instead of new people and when only a human will do improvements in communications and collaboration technology are making remote work easier than ever before motivating companies to outsource key roles to stars leaving the local tech talent pool underemployed this reality is not however universally grim as brynjolfsson and mcafee emphasize this great restructuring is not driving down all jobs but is instead dividing them though an increasing number of people will lose lose in this new economy as their skills become automatable or easily outsourced there are others who will not only survive but thrive becoming more valued and therefore more rewarded than before brynjolfsson and mcafee aren't alone in proposing this by model trajectory for the economy in two thousand and thirteen for example the george mason economist tyler cowen published average is over a book that echoes this thesis of a digital division but what makes brynjolfsson and mcafee's analysis particularly useful is that they proceed to identify three specific group ps that will fall on the lucrative side of this divide and reap a disproportionate amount of the benefits of the intelligent machine age not surprisingly it's to these three groups that silver hanson and door happened to belong let's touch on each of these groups in turn to better understood and why there is suddenly so valuable the high skilled workers brynjolfsson and mcafee call the group personified by nate silver the high skilled workers advances such as robotics and voice recognition are automating many low skilled positions but as these economists emphasize other technologies like data visualization analytics high speed kim indications and rapid prototyping have augmented the contributions of more abstract and data driven reasoning increasing the values of these jobs in other words those with the oracular ability to work with and tease valuable results out of increasingly complex machines will thrive tyler cowen summarizes this reality more bluntly the key question will be are you good at working with intelligent machines or not nate silver of course with his comfort in feeding data into large databases then siphoning it out into his mysterious monte carlo simulations is the epitome of the high skilled worker intelligent machines are not an obstacle to silver success but instead provide it's precondition the superstars the ace programmer david heiner my r hanson provides an example of the second group that brynjolfsson and mcafee predict will thrive in our new economy superstars high speed data networks and collaboration tools like email and virtual meeting software have destroyed regionalism in many sectors of knowledge work it no longer makes sense for example to hire a full time programmer put aside office space and pay benefits when you can instead pay one of the the world's best programmers like hansen for just enough time to complete the project at hand in this scenario you'll probably get a better result for less money while hansen can service many more clients per year and will therefore also end up better off the fact that hanson might be working remotely from marbella spain while your office is in des moines iowa doesn't matter to your company as advances in communication and collaboration technology make the process near seamless this reality does matter however to the less skilled local programmers living in des moines and in need of a steady paycheck this same trend holds for the growing number of fields where technology makes productive remote work possible consulting marketing writing design and so on once the talent market is made universally accessible those at the peak of the market thrive while the rest suffer,1
1400222842,id have godly counsel saul received his from samuel and david from samuel and later nathan the prophet but look at how different their rains were as monarchs saul never really understood the nature of leadership the day he was appointed king he actually hid from the people i believe he did that because he he recognized his inability to lead but after he tasted success in battle he mistook his position as king for real leadership though he had the title power and crown of a king he never moved the monarchy beyond a charisma based judgeship he was made a general but he never attract a large standing army he created no organized government to preserve his gains and when god no longer favoured him he thought the title of king entitled him to continue leading david on the other hand seized opportunities to grow in his leadership he learned to be a warrior he built a standing army and conquered his enemies he chose the city and captured it to become the nation's new capital and then he built a lasting government there much of that he did before he sat on the throne from the beginning all the people of israel and judah loved him first samuel chapter eighteen verse sixteen david attack active citizens warriors and leaders alike and he led them well as the result of his leadership the people flourished to both faced great challenges every leader faces obstacles tests and trials sollen david sometimes faced the same ones take ally as for example when the huge philistine offered to fight israel's champion both saul and david heard the warriors challenge saul israel's greatest warrior who rightfully should have faced the giant in battle reacted by hiding in fear but david a mere boy was eager to face the challenge and win on enter for god what was saul's reaction he offered david his armor why not saul wasn't going to be using it while others wait to see what's going to happen leaders step forward and rise to a challenge three both had the choice to change and grow the two mins very different reactions when confronted with their shortcomings capture the two natures of saul and david when saul disobedient lee made a burnt offering to god samuel rebuked him the scripture is silent on what followed there is no record of sorrow or repentance by saul instead the narrative continues with sol's campaign against the philistines evidently he kept going on the same course david's reaction to his in on the other hand was remarkably different after david committed adultery with bathsheba and sent her husband to his death nathan confronted him and the king sorrowfully repented the one who lifted the lid david's interaction with nathan is representative of his attitude during his life he was never afraid to admit his shortcomings ask god for forgiveness and blessing and improve himself it is the reason the lid on his leadership kept getting lifted higher and higher we can all learn from david if we want to reach our potential and become the person god would have is to be then we need to lift the lids on our lives that's the only way we can go to the next level today's question for reflection in your leadership have you been more like david or saw day two leadership thought for the day every leader has lids samuel said to saul you have done foolishly you have not kept the commandment of the lord your god which he commanded you for now the lord would have established your kingdom over israel forever but now your kingdom shall not continue first samuel chapter thirteen verses thirteen and fourteen every leader has lids on his life nobody is born without them and they don't disappear when a person receives a title achieves a position or is invested with power the issue is never whether you have lids the issue is what you are going to do about them the lids that limited saul when god made saul king of israel he removed all the external lids from the new rulers life saul received god's anointing he took the position of king and had the potential to become a great leader but even though he had no external lids to his leadership there still remained internal lids in seoul there were many fear he began his reign by hiding among the equipment and he was afraid to face goliath if impatience,1
1721371370,brilliance audio presents peeler by kevin mccarthy performed by tim gerard reynolds word of the body had come from the wife of the shopkeeper in bali carton it was only a rumor she had told the young are as comfortable as he collected the barracks as newspapers from the rear of her husband's news agents but she hadn't the heart not to pass it on imagine she had said some poor soul lying alone in the gorse and heather in the wind and rain of late autumn on claimed a young woman she had told the constable her hand resting on his forearm speaking quickly in a breathless whisper eyes darting left and right lest someone should see her speaking to a peeler just a rumour mind passed on by the friend of a cousin who grazed cheap in the hills the same hills where they are now searching eleven cold wet men in the open back of a crossley tender acting sergeant sean o'keefe of the royal irish constabulary bumped shoulders with a private from his escort of eight essex regiment soldiers out of bandon with him from the barracks were constables logan and keen o'keefe only bringing the recently sworn-in keen because it was he who had been given the tip on the body by the news agent's wife the crustless engines strained gears grinding as it climbed a rutted boring used by farmers and their livestock cave scanned the landscape for any sign of the body the squaddies scan the sky for rain through the chicken wire mesh that shrouded the back of the crosley the chicken wire kept out grenades but not the weather o'keefe knew the soldiers resented being there dragged away from a warm fire to run escort for three peelers searching for a body that probably didn't exist they smoke cooking cigarettes and down turned hands the lee enfield rifles resting between their knees o'keefe considered ordering a pair of the men to stand watch to the front and rear of the lorry bed arms at the ready but didn't have the heart he wasn't sure a soldier would obey a peelers order anyway fifty five policemen killed in the previous four months in ireland forty nine disarmed and countless others wounded shot at and beaten west cork had been the worst affected in the country the constabulary needed army escort to move around the county and the army relied on the constabulary for local intelligence but neither was willing to cede authority until something went sour until someone was killed on patrol or a shop was looted and torched when suddenly it was the other lot who had been in charge o'keefe remained silent,0
B07QTB169B,she has no idea who she is or where she is and cares to know neither for some time for what seems like forever she has been in this days with this haze in complete darkness with nothing but the sounds sounds coming from outside her body from outside her head sometimes the sounds fade and there is only the darkness as time passes she becomes aware that there are two realities the one in her mind filled with darkness and pain and then the one outside of her where something or someone else is living acting smelling and singing yes that that's it someone is singing does she know the song the darkness is soon replaced by light still her eyes are too heavy to open her consciousness returned slowly enough to start asking questions where is she how did she end up here a series of pictures of her at home come to her mind she is waiting what is she waiting for him she is waiting for him she is checking her hair in the mirror every five minutes or so then correcting the makeup looking at the clock again where is he she looks out through the window and at the street and the many staring neighboring windows a feeling of guilt hits her somehow it seems wrong for this kind of thing to take place in broad daylight the car drives up the anticipation the butterflies in her stomach the sound of the doorbell she is straightening her dress and taking a last glance in the mirror the next second she is in his embrace he is holding her so tight she closes her eyes and breathes him in it until his lips cover hers and she swims away his breath is pumping against her skin she feels his hands on her breasts under her skirt coming closer while he presses her up against the wall she feels him in his hand he is hard now moaning in her ear where's your husband he whispers work ok she moans back feeling self conscious why did he have to bring up her husband the guilt is killing her the kids are in school good he moans no one can ever know remember that no one he pushes himself inside of her and pumps she lets herself get into the moment but as soon as it is over she finds herself regretting it while he zips up the pants of his suit and kisses her gently on the lips whispering same time next week she regrets having started at all they are both married with children and this is only an affair could never be anything else even if she dreamt about it the sex is great but she wants more than just seeing him on her lunch break but she can never tell him she can ever explain to him how much he hates this awkward moment that follows the sex they're expecting me at the office i have a meeting he says and puts his tie back on i'd better hit the road jack she finally opens her eyes with a loud gasp the bright light hurts her water is being splashed in her face she can't breathe the bathtub is slippery when she tries to get up her eyes lock with another set of eyes the eyes of a man he is staring at her with a twisted smile she gasps again suddenly remembering those dark chile eyes you she gasps breathing is hard for her she feels like she is still choking she is hyperventilating panicking the man smiles but his neck crawls a snake how does the old saying go again red black yellow kills vet hello this one is all of that all those colors it stares at her while moving it's tongue back and forth the man is holding a washcloth in his hand she looks down her naked body the smell of chlorine as strong and makes her eyes water you tried to kill me she said as while panting with anxiety i have to get home help me i have to get home to my children whoa god i can hear their voices am i going mad i think i can hear them i guess i didn't do a very good job then he answers his chillingly calm voice is piercing through every bone in her body i'll try again,0
