asin,document,label
B00F8JE9ZA,our nation and the world breathed a sigh of relief upon learning president kennedy had miraculously avoided the bullets targeting him in dallas but that feeling was overshadowed by an almost unthinkable fact someone had tried to murder our president that thought proved to be so unnerving that country music populace jimmy dean scored a december nineteen sixty three instant hit with his upbeat ballad the day jfk dodged a bullet the phrasing fit right in with the mythos that had been so carefully cultivated since a young brave pt boat officer named john f kennedy began seeking office almost twenty years earlier it was a way to see the unnerving current circumstances as proof of the president's charmed life rather than a shattering of our own national calm as the events broke that day however there was fear and confusion among all the president's men working in his white house many of their stories of shock and panic in dallas have been told now but other accounts have been lost in the fog of conspiracy we know the number of bullets but continue to argue about who fired them and from where we also know that their intended target president kennedy quickly recovered from his minor injuries and sprang into action in retrospect it is clear that within the first hour after the event both the president of the united states and the attorney general felt the government they represented was under siege and their civilian authority was in serious jeopardy how they came to that conclusion and what they said to those working in the white house in those first days set the stage for an epic confrontation dealey plaza has the presidential motorcade turned into dealey plaza secret service special agent clinton j hill did not like what he saw to the left or the president's car was an open landscaped area at the western hand of downtown dallas hill riding on the left running board of the follow up car he felt his stomach tightened at the sight of so much open space on the right he saw the texas school book depository toward which the president was waving hill glanced up the building's higher floors the bodyguards reflex change the course of history a glint of metal in the midday sun flashed from a window on the sixth floor it is not clear whether hill saw only the rifle barrel or also perhaps the man who was holding it either way there was no time to look only to act he launched himself from the running board of his own vehicle and sprinted toward the president's car screaming go go as he leapt on the trunk and scrambled forward the driver secret service special agent william greer inexplicably had hesitated and nearly slowed to a stop a reaction opposite from what he had been trained to do hills screamed greer now greer mashed his foot down on the gas swerving out of his lane in an evasive pattern even as he did multiple shot were fired seemingly from a variety of directions according to numerous witnesses the presidential motorcade had entered what would come to be called the kill zone hill was the agent assigned to the first lady but in an instant like this he was trained to cover the president particularly when he saw that the agent in the passenger seat roy kellerman whose job it was to protect the president was frozen just as greer initially had been hill tried to push the president down but kennedy's body was stiff he wouldn't bend even under hills muscle the secret service agent instantly readjusted so he could move both president kennedy and the first lady into prone positions across the seat be supper courted his body over them with both arms the president by his own testimony under oath before his interrogators of the u s senate trial screamed jesus christ they're trying to kill all of us his advisers kenneth o'donnell and dave powers reacted similarly o'donnell was j f k's appointment secretary and political sounding board and powers was the president's longtime close friend because of their white house importance the two men were riding in the car immediately behind kennedy and they too felt they were being targeted from at least two directions and that everyone was going to die agent hill was hit twice one bullet shattering his spinal cord and the the other ripping through his left temple the amateur film of dallas resident abraham zapruder caught the action including a spray of blood and brains that appeared to knock hill's head back and to the left for many observers the headshot did seem to indicate that at least one bullet was fired from the grassy knoll area nearby by hand not from the upper window of the book depository the likely origin of the first spine shattering explosion later testimony from witnesses told a tale of secret service agents in other cars who seemed asleep or operating in slow motion,1
B07BN1459L,he took a far more active role in saving both at home and overseas and in many different ways sometimes in secret as will be seen from the final section which are titled onstage and backstage i have learned that every man and every woman who has served the nation in a time of conflict including in recent years and now peacekeeping missions has a story to tell the earlier volume of world war one articles provided a remarkable insight into the lives of those who volunteered for king and country i hope this collection provides the same understanding of how australians fought against nazi germany and japanese imperialism john garfield oh singapore fo i think it is just patrol activity we're hearing brigadier to lieutenant colonel john right my unit in the fall of singapore by a jimmy james x wi one second echelon f during the night of sunday the eighth of february nineteen forty two one and a half divisions of jap troops with artillery crossed the johor strait and landed on the northwest side of singapore island beginning immediately and onslaught on our west force the next morning the hall of the allied air force evacuated singapore and became based on sumatra and the way was open for a jap on rash my unit was working on records at holland road about eight miles south of the jet landing but a rides and artillery fire became so frequent that we evacuated to balmoral house stephen road another eight miles through the south which we did on the tenth of february the next day at about eleven hundred as we were blitz from the air with anti personnel bombs the japs had no opposition in the air and could do what they liked with us our casualties were three killed and ten wounded at thirteen hundred and sixteen shares began to fall around us so we moved farther south again all this time the west force with the third indian call center force was putting up a mighty effort without a vile unfortunately the giant fifteen inch guns at chalky which could have been very helpful when not mounted so that they could be turned far enough to send their shells into the oncoming jets sensing a quick victory the jumps became berserk they went wild shooting up everything everywhere some had seeped through our lines and as they were dressed as peasants it was difficult to detect them they procured arms and ammunition from project natives in singapore city and established themselves in trees in the streets from which they kept the continuous sniping i saw myself three of these men tumble out of trees when fired on at this stage old troops were the front line or otherwise were not up to their necks the australian field ambulances had set up in st andrew's cathedral where they were trading the wounded as best they could under an incessant bombardment at the alexandra military hospital in singapore the critical die was the thirteenth of february during the morning routine work was continued in the afternoon and setting forty hours the japs have inside attacking towards the sisters quarters from where the sisters had been previously evacuated as a number of japs reached the rear door of the hospital lieutenant watson went from the reception room with a white flag to indicate the surrender of the hospital the japs took no notice at all of the white flag and made for lieutenant watson and they bayoneted savagely to death the japs then ran a mark on the ground floor one party entered the operating theatre block and at this time operations were being performed in the corridor between the sisters bank and the main theatre as the best lighted and my sheltered area in the hospital the japs climbed into the car door motion the staff to move along and then for apparently no reason at all set upon the unarmed staff with a binance lieutenant roberts was binded twice through the thorax and died immediately,1
B07KL64VDH,chapter two identifying what you want the importance of culture and determining what you want one of the most important things to talk about is how do you fit in why is that so important all employees have essential human wants and needs despite the generation they were born into these feelings motivations desires and a sense of purpose actually matter how people feel about coming to work contributing being able to to be their authentic self and feel like they fit in mean they feel welcomed and valued is absolutely essential to employee engagement and to achieving business results this all ties back into a company achieving it's organizational strategy organizations have to have the right employees with the right skills in the right place nice those employees want to know how and where they fit into the strategic direction employees need to know what their purposes and coming to work every day employees need to understand how their contribution is helping the organization win now both organizations and the people that work in them have needs we need to talk about them openly and not reserved for closed door office or conference room conversations there is power and having a shared sense of purpose it does incredible things for people and groups trying to work together organizational strategy creates an immediate need and requires the aligning and developing of people to meet it if you hope to achieve that approach and be successful leaders of organizations should not shy away away from talking about the wants needs and motivations of employees this type of conversation takes a level of transparency for some leaders it could be uncomfortable but without that level of transparency they can't build trust with you as an employee being welcomed and valued is important and unique to each individual that's why leaders and managers must get to know the people who work for them get to know who they are what they value what they bring to the table even when they may feel different new or unfamiliar even when the people they're talking to don't automatically think the same way or don't contribute in a way they're most comfortable with with fitting in knowing your purpose and feeling you are both meeting your needs and those of the organization is good but engagement and retention take more than that more than just fitting in you want to feel valued you want to feel welcomed not only when you come to work on a monday or after a vacation you want to feel that when you show up each day people are genuinely happy to see you not from just a collegial standpoint but that you're part of the organization you want to feel like you matter and that your contributions help drive the execution of strategy connecting with your leader doesn't have to be through an intensive check check-in or meetings set on the calendar drive by sessions with your leader just stopping by in the morning on the way to get coffee on your way in can be just as empowering another aspect of setting an environment to get the best business results is authenticity everyone wants to do their best and tap into their real potential but people want to feel valued for who they are you want to think that you're doing something good something meaningful through your work that the hours spent in the office matter you're contributing to something greater than yourself what enables us to happen is developing a sense of self awareness that taps into your feelings and heightens your sense of professional identity and gives you a greater feeling of self worth unfortunately many organizations don't think about that unless it is pointed out here are a few things to be on the watch for in a company or organization to determine if being authentic is embraced or avoided do you see leaders managers and employees engaging each other across functions across levels and across generations is there friction or do things for the most part work fluidly work is such a big part of our lives should we identify personally with our work and find satisfaction in what we do most everyone wants to be themselves it's not easy trying to be someone or something you're not it's stressful and you spend all of that time in the office trying to fit into a mold that quite frankly was never really made for you organization should understand that they need to appeal to the heart the head and not just the wallet of their employees leaders of organizations need to have a level of consideration for the employ they must create an environment where employees believe that is good for them to work there that they're being paid fairly and are valued and are helping the organization achieve business results,0
B00QFSRWWU,next time you're in the city so nice they named it twice take a walk in the park not central park but one that is half again as big and as even more of a central park located in the geographic and population bull's eye of new york city it's flushing meadows corona park in cui queens were before the soccer players picnickers and best tennis players on the planet took it over the last great world's fair took place between april and october nineteen sixty four and again in nineteen sixty five some fifty two million people from the four corners of the earth gathered there to be part of what fair officials predicted would be the greatest single event in history the park is an enduring legacy of the fare transformed from the dismal valley of ashes that f scott fitzgerald described in the great gatsby into a big beautiful thing that is the pride of the borough few people today of course would say that the nineteen sixty four sixty five new york world's fair achieved or even came close to achieving this more than lofty perhaps ridiculous claim of becoming the greatest event in history besides the sheer attendance however which made it not just one of the most popular world's fairs but perhaps caps one of the most popular events of any kind ever to be held consider what a typical fair goer could experience in a single day in flushing meadows in between seeing color tv for the first time at the rc a pavilion and taking a ride in a brand new car from ford called the mustang ng one might have stopped by bell telephones pavilion to try something named the picture phone that let you see and a little concerning be seen by the person you are speaking to one's next stop might be the i b m pavilion to see what the large face was over this new business machine the compute twitter followed by a visit to g e's pavilion to watch a real demonstration of thermonuclear fusion in which a million amperes of free energy were released then after strolling through the space park to check out a few rocket ships that had actually been in orbit quite a thrill in these heady days of the race to the moon one might go back in time to see a few of the dead sea scrolls followed by michelangelo's pa ta especially since this event was the first time that masterpiece had left the vatican since it was sculpted four hundred sixty five years earlier from april to october in nineteen sixty four and nineteen sixty five some fifty two million people from around the world flocked to the new york world's fair an experience that lives on in the memory of many individuals and in america's collective consciousness in a book praised by the new york times and national public radio author lawrence our samuel offers a thought-provoking portrait of this seminal event and of the cultural climate that surrounded it countering critics assessment of the fair as the ugly duckling of global expositions although much attention has been paid to the controversial role of world's fair president robert moses who tried to use use the event to ensure his personal legacy the fare itself was for the great majority of visitors an overwhelmingly positive often inspirational and sometimes transcendent experience that truly delivered on it's theme of peace through understanding in this audio book you'll hear why much of the fair's popularity stemmed from it's looking backward as much as forward offering visitors sanctuary from the cultural storm that was rapidly approaching in the mid nineteen sixties opening just five months after president kennedy's assassination the fair allowed millions to celebrate international brother or hood while the conflict in vietnam came to a boil the fare glorified the postwar american dream of limitless optimism just as a counterculture of sex drugs and rock'n'roll was coming into being it was in short the last gasp of the american dream the the end of the innocence and it's long awaited unabridged audiobook is available now,1
B002ZP8M44,i have been asked why i as a latina am writing a book on multicultural leadership rather than leadership that springs from my community although it is insightful to look at latino or black or american indian leadership separately this continues to imply that leadership in each of these communities is pertinent only to that one group and is not relevant and generic enough for widespread application latino leadership is seen to be of interest only to people who are involved or work with this population black leadership is not regarded as applicable to mainstream organizations although though there is significant literature on it's widespread effectiveness likewise american indian spirituality is not understood as the very essence of their leadership that can enrich all cultures multicultural leadership has broad relevance and application to the diverse world that we live in a culture truly integrated model has greater impact influence and scope delving into leadership models from specific communities will certainly enhance a person's ability to relate more effectively with that population but will not necessarily be applicable to the growing diversity that exists a multi cultural leadership approach on the other hand offers practices and tools that will be effective with many populations furthermore even though blacks latinos and american indians have distinct ways of leading there are key points of convergence as will be noted a number of core cultural dynamics are shared by communities of color their history as colonized people is a common denominator that in genders leadership forms that are people centered community focused and advocacy oriented all three cultures center on collect iv or group welfare and value generosity and reciprocity by identifying such points of convergence multi cultural leadership that integrates black latino and american indian strengths can be brought forth these unifying factors lay the foundation for eight principles formulated in his book articulating these commonalities will cultivate a greater sense of unity among communities of color by working together to find common ground and develop a collective force these communities can proactively influence a more culturally inclusive leadership form as the hope the elders have prophesied the time of the lone wolf is over the future of communities of color lies in their unity and collective force focusing on the cultural crossroads that shape multicultural leadership in no way denies the power or importance of leadership within the black ak latino or american indian communities recognizing common abilities and celebrating differences are two of the touchstones of diversity i hope this book will inspire people to deepen their understanding about the unique gifts that many cultures bring to leadership i feel uniquely qualified to discuss leadership in black latino and american indian communities i was the first president and ceo of the nationally spinal leadership institute and have directed latino organizations for over twenty years through the chevron management institute i do designed a leadership program that trained ninety urban league presidents spelman college's center for leadership and civic engagement honored me with their legacy award i was initiated into the colorado women's hall of fame and presented the wise woman award by the center for women's policy studies i also taught at the center for creative leadership in the leadership development program the most highly utilized corporate training program in the world the u s peace corps acknowledged me with a franklin miller award for my lifelong commitment to advancing communities of color most important i have listened to the voices of diverse leaders many of whom i have worked with closely this book reflects the composite of our experiences and ways of leading my own background is also multicultural central american indian spanish and french my grandmother was indigenous her long braids hung down her back as she never cut her hair coming from the caribbean coast of nicaragua i have black and latino relatives,0
B07D9QDT2S,only half as large from which to draw new recruits there was no doubt that an invasion of britain was already in hitler's sights and short of outright surrender there seemed little chance of avoiding it since the british expeditionary force is scrambled to safety from the beaches of dunkirk a fortnight earlier the british public had caught their first glimpse of what a german invasion might mean in the wake of the exhausted demoralised and bedraggled soldiers who stepped off the little ships came a stream of pitiful refugees tens of thousands of ordinary civilians whose homes had been overrun by the german army and whose lives had already been destroyed thanks to their apparently invincible war machine many of those who saw them couldn't help wondering if the wretched state of the new arrivals was a premonition of what was to come when the germans finally landed on their own soil on both sides preparations for the expected invasion were beginning to get underway the german army navy and air force had been discussing possible strategies since the previous december now following the fall of france the german high command began to draw up more definite plans under the code name operation sea lion i have decided to prepare for an invasion hitler wrote in his directive number sixteen intended to eliminate england as a base for carrying on the war against germany and should it be required completely to occupy it once the rf had been pummeled into submission by the lift buffer the plan was for over a quarter of a million men to be landed in a matter of days enough to seize the country for the furor and put an end to the war once and for all in britain ordinary people were readying themselves for the expected onslaught almost half a million men aged from seventeen to sixty five had already enrolled as local defence volunteers not yet rebranded as the home guard and were practicing making molotov cocktails to hurl at german tanks up and down the country temporary roadblocks had prepared using tree trunks abandoned cars and carts full of builders rubble and fields where enemy aircraft might land had been peppered with obstacles to the petroleum warfare department was looking into ways of repelling an enemy fleet by setting the sea itself on fire the day before the war cabinet meeting on the channel islands ch churchill had told the british people to prepare themselves to face the whole fury and might of the enemy and to brace themselves for a battle that would be remembered for a millennium as the nation's finest hour as the prime minister delivered his speech in parliament government printing presses were rattling off one point five million copies of a leaflet entitled if the invader comes to be distributed up and down the country over the next few days think always of your country before you think of yourself it declared firmly privately many civilians were starting to wonder how they would cope if the germans came knocking on their door some resolved to commit suicide ideally taking a few of the invaders down with them a wealthy lady in buckinghamshire planned to invite a group of officers in for champagne laced with weedkiller others felt they could do their bit by depriving them of valuables applies the government had advised homeowners to hide maps bicycles petrol even food at a dorset branch of the women's institute there was a spirited debate about how to prevent their large stock of homemade jam from falling into enemy hands some members felt that every jar should be smashed to smithereens others that merely hiding them under the floorboards was sufficient the government leaflet didn't mention the possibility of long term occupation but many who read it must have had that thought at the back of their minds they had seen the nations of europe collapse one by one under the weight of the german advance and the result in every case had been the same for all churchill's impassioned rhetoric there was no guarantee that the great fight to repel the invaders would succeed and assuming it failed what then what would a german occupation of britain look like of course they and we never had to find out three months later in september nineteen forty after the loot buffer unexpectedly fail to cripple the rf in the battle of britain hitler reluctantly shelved operation sea lion a german invasion and occupation was no longer on the cards but for more than seventy five years the specter of what might have been has haunted us there but for the grace of god went we our collective nightmares have been realized in a variety of chillingly realistic fictions beginning with the nineteen forty two propaganda movie went the day well in which a platoon of disguised german paratroopers take over a small english village the prospect of a britain under occupation has proved irresistibly fascinating in novels such as len dayton's ssg,1
1980042578,any sources of course historical novels pbs series but surely most of all from the landscape history is told on the landscape all across america on monuments at the courthouse by guides inside antebellum homes and aboard historic ships by the names we get the two places and on roadside historical markers this book examines the history that some of these places tell and the processes by which they come forward to tell it markers monuments and preserved historic sites usually result from local initiative typically a private organization the chamber of commerce a church congregation the local chapter of the united daughters of the confederacy takes the lead but public monies are usually involved before it's unveiled it follows that the site will tell a story favorable to the local community and particularly to that part of the community that erected or restored it an account from another point of view might be quite different and also more accurate americans like to remember only the positive things and communities like to publicize the great things that happened in them one result is silliness the first airplane was invented not by the wright brothers but by reverend burrell cannon and the first flight was not in kitty hawk north carolina but in pittsburg texas yes it must be true an impressive looking texas state historical marker chapter thirty eight says so meanwhile georgia massachusetts and rhode island all claim the first use of anaesthesia and markers in brunswick georgia and brunswick county virginia battle over where brunswick stew was born a more important result is racism people who put up markers and monuments and preserve historic houses are usually pillars of the white community the spate of martin luther king jr avenues and monuments in the nineteen seventies and nineteen eighties notwithstanding americans still live and work in a landscape of white supremacy especially in the south but all across america even on black college campuses chapter forty seven markers monuments and names on the landscape glorify those who fought to keep african americans in chains as well as those who after reconstruction worked to make them second class citizens again in nineteen ninety nine when this book first came out readers were amazed to learn that the person who got the most historical markers in any state was not lincoln in illinois or washington in virginia but nathan bedford forrest confederate cavill re gen and first national leader of the ku klux klan in tennessee moreover those white southerners misguided enough not to be racist were ignored entirely or converted into good white southerners when remembered thus helen keller's birthplace chapter forty nine www flew a confederate flag while the real killer was an early supporter of the national association for the advancement of colored people naacp other monuments expressed white domination over native americans a later introductory essay hieratic scale and historic monuments shows how sculptors typically play native americans physically lower than european americans on historic monuments whites always wound up in positions of power and action while people of color were passive on the bottom lame deer a dakota leader sees the same message in the four european american faces carved on mount rushmore these big white faces are telling us first we gave you indians a treaty that you could keep these black hills forever as long as the sun would shine in exchange for all the dakotas wyoming and montana then we found the gold and took this last piece of land because we were stronger and there were more of us than there were of you you and because we had cannons and gatling guns and after we did all this we carved up the mountain the dwelling place of your spirits and put our four gleaming white faces here we are the conquerors the language at historic sites is also warped all across the country americans call native americans my tribal names that are wrong and even derogatory according to these histories on the landscape indians are savage whites discover everything and some causes portrayed as stainless today were drenched in blood in their own time then there is the matter of who gets memorialized and who gets left out all too often memorials hero ephi people who should not be forgotten but who should never have been commemorated jeffrey amherst for it,1
B0040H3FPQ,the number of buildings in different parts of the city is at variance with the information from chassidus the tacit dispersion which is widely accepted by historians says that the great fire began at a single location the circus maximus but let us follow diodes line a little further he also wrote after graphically describing how the fire affected the city's million or more residents and caused widespread grief while the whole population was in this state of mind and many crazed by the disaster were leaping into the very flames nero went up to the roof for the palladium his hp palace on rome's palatine hill from which there was the best general view of the greater part of the conflagration and assuming the dress of a liar player he sang the capture of troy as he called the song himself though to the eyes of the spectators it was the capture of rome to begin with everything on the palatine hill including the pilate room was as dial himself would write destroyed in the fire along with every other building on the palatine hill the palace was consumed in the fires first stage even if we assume that dial meant that niro us attended the pollachi en route to play his liar during the early stages of the fire before the flames reach the palace no other roman writer put niro on the roof of his palace at rome playing the lyre at any time during the great fire casitas wrote that nero only set off back to rome when he heard that the fire was approaching his palace daya clearly took his lead from niro's biographers we tony is whose parents actually lived at rome at the time of the great fire suetonius himself was born some five years later sweet tony has made nero culpable for the conflagration writing pretending to be disgusted by the drab old buildings and narrow winding streets of rome he niro brazenly set fire to the city although a party of x consoles caught his attendance armed with to the course and broken part of flax and hemp and blazing torches trespassing on their property they dared now not interfere sweet tony has went on to say of nero he also coveted the sites of several granaries solidly built in stone near the golden house having knocked down their walls with siege engines he set the interiors ablaze the terror lasted for six days and seven nights causing many people to take shelter her and monuments and tombs niro's men destroyed not only a vast number of apartment blocks but mentions that i belonged to famous generals and was still decorated with their triumphal trophies temples too vowed and dedicated by rome's kings and others during the punic and gallic wars in fact very ancient monuments of historical interest that had survived up to that time nero watched the conflagration from the tower of messiness enraptured by what he called the beauty of the flames then put on his trojans costume and saying the sack of ilium from beginning to end here then was sweet tony as his account written several decades after the event in which nero was described as singing while rome burned but not from the roof of his palace cassius dio wrote his history of rome using the works of earlier writers adding his own opinions biased his and flourishes such as changing the name of the tune supposedly played by nero apparently to give more emphasis to the claim that niro's celebrated the destruction of his capital and of course sweet tony's account of the fire was one to which dial would have had access long after it was written even though testis makes no mention of it there is a high probability that when nero arrived back at rome from entomb he did indeed observe the fire from the vantage point of the tower of messiness which stood on the escalon hill in the imperial gardens of messiness the fire was eventually brought to a halt at the foot of the ethical line and perhaps nero did sing a song or two during that fraud week of the fire but did he celebrate the fire and did he in fact set it as sweet tony is alone among first or second century writers claimed and as dire much later echoed some of suetonius his facts and his book de vita caesarism or lives of the caesars in which she wrote the above passages about the great fire are demonstrably incorrect while others are mystifyingly jumbled and some obviously invented suetonius apparently,1
B00GSZR01I,watson crossed the pavement to number twenty seven and rang the bell thought it was some time before there was a response yeah a man in his mid thirties eventually opened the door and stared at the pc he wore a pair of james and stripped to the waist his hair hung about his muscular suntanned shoulders untidily he looked to be the sort he would normally wear it in a ponytail around his neck he wore a slender gold chain and then his right hand he was holding a woman's bra we've had a report of a disturbance here said watson glancing pointedly at the item of underwear i can't hear anything said the man with a confident grin and cocked his head in an attitude of listening he too glanced at the brow and then tossed it aside who put the bubble in we're being told that there was loud music and shouts and screams said watson declining to answer the man's question he took a postbag the man's breath reeked of alcohol so we will have an apar either gobert hand i saw what i have and am i am i of the gangs gone i'm alright a girl with a gorgeous figure and long black hair appeared beside the man and smiled at watson she showed no sign of embarrassment to be seen wearing nothing but a thumb what is it lover she asked slipping an arm around the man's waist and leaning into him nothing to worry about show insanity oh bill apparently there's been a complaint about the noise i suppose it was some envious neighbor he was pissed off he hadn't been invited oh that's all right then the girl winked to the pc turned and sashayed provocatively back into the house okay said watson but keep it down in the future yea sorry officer but like i said it's over now i guess you guys have got enough to do without dealing with noisy parties you can say that again and your name sir relatedly watson realized that he should take a few details the man paused before answering call morgan he said eventually why just for the record watson afforded the man a crooked grin and you live here yeah of course thank you watson scrawled a few lines in his incident report book and pocketed it i'll not need to trouble you any further he crossed the pavement and got back into the police car taking out his pen he wrote all quiet on arrival against the entry in the logbook regarding the disturbance call he put his pen back in his pocket and glanced at the driver i reckon out with some party he said samba came to the door wearing a thong and nothing else some people have all the luck you could have told me earlier muttered homes a cup of coffee then said watson and yawned good thinking said his partner and putting the car into drive accelerated away but almost immediately holmes and watson received a call to an attempted burglary in draycott gardens suspects on premises said the control room operator silence approach there goes our coffee muttered homes he turned on the blue lights but not the siren after he had closed the front door of number twenty seven the man who told the police he was called morgan walked into the front room of the house briefly parting the closed curtains he glanced out at the street he turned to the girl he was reclining in an armchair he's alright show they have gone he said there was a bit too bloody close for comfort he added letting out a sigh of relief well what do we do now lover or shelley there's something i've got to do first and then we'll get the hell out of here and we'll go as far away as possible home in fact the man laughed nervously what about the hotel you book lover complained the girl forget it said the man and you'd better put some clothes on otherwise will be another complaint only from a woman said shelly dryly donald baxter was unable to sleep the temperature was still in the seventies,0
B00BZ83YOU,marian larch looked at the brightly wrapped box that had just been placed in her lap but you are the one going away she protested shouldn't i be giving you a present open it kelly commanded the bow was lopsided kelly had wrapped it herself marion pulled off the ribbon and opened the box to find a fanny pack wrapped in silver tissue lovely brushed grey leather reeking of money so soft to the touch as to be sensuous three zippered pockets not one of them deep enough to hold a gun it's beautiful kelly marion said ot where did you get it sienna kelly ingram had flown there to make a quickie tb movie before heading to california to make a real movie they were sitting in t w a's vip lounge at kennedy waiting for the los angeles flight to be announced leather shops all over the place there kelly said meaning sienna i wanted to get one of those fancy packs for myself but they cost too much she added straight faced marion laughed kelly probably had three she was going to miss her friend kelly had left hollywood seven years earlier as a former starlet going nowhere a television series shot in new york had made her a name and a successful broadway play had made her an actor now she was headed back to la la land and triumph to make the movie version of the apostrophe thief the play that had given her stature i probably have an entourage by the time i get back kelly said glumly it's a capital offense in hollywood to go anywhere alone that was a joke kelly was making what would you do with an entourage marion asked amused no i dunno pay him to stand around and look impressive i guess isn't that what entourage are for you're asking me i thought they were to provide moral support oh that kelly dismissed the notion with a wave of her hand other passengers in the vip lounge kept glancing at kelly out of the corners of their eyes trying not to appear impressed by the presence of this particular celebrity among them kelly was dressed for traveling in faded jeans a white t-shirt and what appeared to be a fisherman's vest she looked like a million bucks ms ingram an airline official had appeared by kelly's armchair would you like to board now yes thanks kelly and marion both stood up time for me to go totes don't say any longer than you have to marion said don't worry about that they followed the airlines official through a door leading to the boarding ramp kelly paused and said and i hope you catch a bad guy marion side which one kelly winged whichever one you're thinking about right now she turned and headed up the ramp good exit marion thought she raised her hand in response to kelly's wave just before her friend disappeared into the connecting tunnel damn it marion missed her already kelly knew her pretty well marion mused as she made the drive back into manhattan never completely out of her mind was whatever crime of the moment was taking up most of her working hours spending the taxpayers' money plaguing her sleep but at the moment she was more concerned with the gap kelly's absence would leave in her life cops rarely had friends who were not also cops street cops especially had trouble talking to outsiders only other cops understood what it was like marian larch had put in her time as a street cop living with the constant attention never knowing whether the next door she pounded on would be opened by a frightened citizen or a crazy with a shotgun afraid that her fear my paralyze her at the very moment she needed to act fast to save her own life just wearing the uniform had made her a target in some of the neighborhoods she'd had to go into how did you explain living that kind of life without sounding like a lunatic with a death wish,0
