asin,document,label
B01I5J99HW,pinching his bearded cheek his brown hair was streaked with gold and he was nearly to his shoulders at least he kept his beard trimmed but nothing could hide those golden brown eyes of his those eyes were a gift their turkish uncle isaan had told matt wants from him genetically speaking they are turkish side of the family was a mix of different hair and eye colors but mad had taken after his son therefore matt became the favorite child of his loving uncle who lived in khushi dosa turkey tile saw mats eyes gleam with happiness as he released her she was an officer he an enlisted army sergeant and they didn't i often see one another at their home base bhagwan was huge and all the black ops now worked out of it because of the drawdown but at least she got to see her little brother from time to time matt slipped into the line behind her resting his hand on her shoulder this is lucky my team just got in from a mission in the hindu kush how bout what you sow smiled up at him she could see he had come directly off the op his uniform was dusty and stained his olive complexion marked with dried sweat and dirt sir hame i'm surprised we didn't see each other over at op's he wiped his mouth with the back of his hand me too he looked around siena lax lately i just thought for a turns landing over the fixed wang terminal she might be in that group shaking her head tao said no not yet i saw them land and wondered if alexa was among them he saddled his hands on his narrow hips he looked pretty rugged we've lost weight how you're staying out in those mountains too long waiting for h v ts to cross the border he teased gently pulling her long black hair which was caught and attempting pony tail between her shoulders part of the price you pay she said matt stowe was kevlar vest a knife on his lower left calf and a drop holster with a pistol in it riding low on his right thigh he probably put his m four into the weapons locker and op's rifles weren't allowed in the chow hall are you here for awhile he asked lifting the black baseball cap off his head and running his fingers through his thick on combed hair yes a couple of days she grimaced as the ceo of this bag kind of snipers i need to work with tactics and strategy to figure out which hv t's we haven't nailed yet look through a recent intel and then set up new missions for my people he patted her shoulder sure glad i'm just a lowly sergeant i like being out where the action is not stuck in an office i get out in the field often enough to reassured him there's no way i'm sitting behind a desk very long well i imagine mom and dad would be happy to hear we were doing just that he rubbed his hands on his dusty thighs they're going to get their wish soon enough tao said they inch forward a few feet more from her vantage point she saw ally lockwood and his seal group of eight men disappear within the hall good now all she had to do once they got through the doors was find out where they were setting and grab a seat in the exact opposite direction that should be easy enough to do hey has dad or uncle is on sent you any more updates on the artemis security building that's all under construction right now tao pulled out her ipad and clicked it on yes dad just sent photos and some more information about our new digs he's out at the construction site when he can make it working on turning that virginia farmhouse into a state of the art security building for us maths mouth lifted into a grin as he intently stat the photos on our ipad it's going to be fort knox compared to langley he agreed pleased from the outside it looks like a typical three story white farmhouse from the mid eighteen hundreds he tapped one photo on the screen enlarging it you know uncle is on a wily old fox fighting to keep the shell of the farmhouse around our security firm to hide it smart move snorting towel said no big surprise mad our mothers three brothers run the largest shipping company in the world they didn't get there by accident all three of her uncles were passionate about keeping the new security company normal looking on the he outside for anyone driving by and i agree with their strategy yeah i remember that meeting matt chuckled studying each of the photos carefully i'm glad we were there for that one he grinned when you put three of our turkish uncles in the same room with cousin angelo it feels like a firefight and die dad's office at the pentagon angelo mykonos their mothers greek cousin owned the second largest shipping line in the world laughing tile agreed how was one hell of a meeting add to that dad uncle john and uncle pete and you have so much power,1
B012DWPABG,the blare of a car horn drag jake from a sound sleep he lifted his head to listen then sat up and looked out the window a bluish white glow shone through thick fog beyond the slope of ground at the base of his driveway he grabbed for his jeans and a shirt drivers mo mostly kids often misjudge their speed and missed the hairpin turn on the narrow road below he shoved a cell phone into his hip pocket and tugged on his boots when he reached the bottom of the gravel drive he saw the car rammed into the oak tree that sat at the curve he ran to the vehicle to find a woman slumped over the steering wheel and the crumpled airbag as he reached through the open window and pressed fingertips to her neck checking for a pulse she moaned and lifted her head leaning back against the seat the blaring stopped from the backseat came a weak whimper the haley the woman struggled to speak my baby jake reached inside unlocked the rear door and pulled it open a baby lay in a car seat facing the back when he leaned over her she flashed a broad grin and kicked big blue eyes locking on his she seems fine fine he turned his attention back to the woman you shouldn't move you're bleeding but she ignored him fussing with a seat belt buckle and freeing herself i'm okay you could have a concussion or broken bones let me call for help know the vehemence of her response brought i'm up short okay at least move slowly and let me help you she turned gingerly in her seat and let him help her to stand happy be fine can you get bailey out of her carseat please sure he fiddled with a snap locks and once the baby was freed picked her up and removed her from the car said she's fine he reached back and picked up a small blanket handing it to the woman press this against her forehead she did so then paled at the sight of her own blood i'll take her the woman stretched out trembling hands maybe i should carrier near shaking can you walk i live right up the drive she took a halting step then too i think so here hang on he secured the infant and his left arm and sled is right around the woman's waist to steady her a slow and easy she staggered against him as he guided her up the rough driveway and the few steps to his log cabin he flung the door open and directed her to the sofa the woman dropped down and reached for the baby give her to me she lay the child in her lap and began to inspector for injuries your heads still bleeding i get a towel don't try to stand he hurried to the kitchen removing a clean dishtowel from a drawer and dampening it with cold water then grabbed the first aid kit from above the fridge he returned and knelt in front of her dabbing at a cut above her left eye she she winced sorry i really should call the e m t's you might need stitches and both of you should be checked out you can have hidden injuries after an impact like that no we're fine i just need a band-aid she lifted the baby over her shoulder and rubbed the infant's back and soothing circles at least let me clean this cut and bandage it for you what's your name hey shannon he continued to minister to her wound first dabbing it with a cotton ball soaked in peroxide then applying antibiotic ointment and a butterfly bandage i'm sorry i know that hurts it's ok she lifted her eyes to meet his deep blue that matched the baby's eye color locked on him thank you may i use your bathroom sure it's right around the corner he helped her to her feet i'm going to see if i can tow your car appear before someone else takes that curve wide and hits it you need anything she shook her head then swayed i shouldn't do that holding the baby against her chest she gingerly made her way to the powder room,1
B002V1C1NK,screens and keyboards though that may sound direly elegiac i know people will always need stories and that any eras external packaging of them hardly matters oral formulas scrolls codices paperbacks he texts they all get the narrative job job done nonetheless what follows may often appear a kind of memorial a minor monument to a time of softly turn pages when the young entered libraries hungry for books to devour rather than information to download when printed matter still mattered and kill kids daydreamed more often of writing the great american novel than of working on their websites some readers may wonder have i discovered any unexpected truths or insights in working on an open book perhaps only as chekov once observed that it takes a god to distinguish between our successes and failures in life still one can at least charge some of the forces at work and recall lol a few of the turning points michael durda washington dc january twenty fifth two thousand and three note although i touch on many books in the following pages i seldom discuss any title for more than a few sentences if that longer more expansive pieces on books and their authors will be found in a forthcoming collection and to some extent in the already published readings essays and literary entertainments for an open book i have changed a few names in particular those of nearly all the young women i was sweet on after eighth grade who knows if all or any of them would want our association remembered i've also adopted a few autobiographical passages from readings part one learning to read chapter one a quote from charlotte mew the spirit afterwards but first the touch daydreaming is my only hobby like many people i have now and again tried to imagine the perfect environment the ideal conditions for reading a worn leather armchair on a rainy night a hammock in a freshly mowed backyard a veranda overlooking some summer sea good choices everyone but i have no doubt that they are all merely displacements sentimental attempts to replicate the warmth and smugness of my mother's lap even now i can close my eyes and again she sits indian style on the floor in a corner of our family's dining room leaning against the steel ribbed vents of the heat register she wraps the chanel house coat tight against her body and awaits the periodic exhalations of warm dry air like any picture book hatchling or newborn i burrow against the softness of her breast from a small blonde bookcase she selects one of a dozen or so worn golden books shelved there next to the cookie tin of broken crayons and the stack of torn coloring books her fingers are wrinkled old puckered from the hot water of the now drying dinner dishes my mother begins to explain the bright pictures to me look michael c the little duck is an acute ooh look at the puppy she laughs contentedly while cradling her four year old son do i really and truly remember a story about a duck certainly i can still summon up vague memories of ravenous tigers whizzing ever more quickly around a palm tree and gradually turning into butter little black sambo which was still widely read in those days mostly of course i recall the restful security of my mother's embrace as we would read together after supper when i was all washed up like a big boy and ready for bed in my pajamas that feeling of animal satisfaction of a full belly and soft cotton has ever since been high among the myriad pleasures of a life spent reading we lived in lorain ohio blue collar industrial town of sixty five thousand on the shores of lake erie thirty miles west of cleveland and home to the largest steel pipe mill in the world i had been born on november sixth nineteen forty,0
B07LF84VVR,what in the name of hell is on your head arriving to work slightly hungover and in bad need of coffee then mccarthy ignored the question from his brother riley then had forgotten to buy coffee again and had gone without this morning living alone sucked before his dad and reilly moved out one of them had bought the coffee now he had to do it and he never remembered until he woke up late and realized he'd forgotten again riley wasn't giving up hello what is what fin choked back a yawn and tried to remember if he'd brushed his teeth before he left the house he had hadn't he wryly stepped closer to him boasting the freshly fucked look that had made finn want to stab him more than once in the months since his brother moved in with nicky that reilly pointed to the top of finn's head what is that finn had no idea what he was talking about until he reached up and encountered the lump of hair he'd secured with a rubber band to keep it out of his face their cousin shane joined them it's a man bun and it looks ridiculous riley that asshole busted up laughing what the hell is a man bun that shane pointed to finn's head is a man bun they're all the rage riley couldn't stop laughing he laughed so hard he howled while finn prayed that his cousin mac would bring coffee the way he did most days thankfully mac walked into the wayfarer a minute later with his business partner luke harris right behind him and was that a tray of coffee mac was carrying yes what's so funny then has a man bun shane said and it looks ridiculous riley added finn stole one of the coffees and took a big sip pure bliss there's nowhere to get it cut out here go see chloe at the curl up and die mack said i don't get my haircut in salons finn said disdainfully i go to barbershops and there isn't one on the island the way i see it riley said if it's a choice between a man bun or a salon i'm choosing the salon every time the way i see it finn said no one asked you wait till dad uncle mac and uncle frank see the man ben reilly started laughing again i gotta get a picture so we can show them in case they miss it the bastard whipped his phone out and had the picture before finn could react or turn away that picture would haunt him for the rest of his life maybe the guys were right a salon was preferable to putting up with this bullshit his hair had gotten so long it was either restrain it or wear a hat to keep it out of his face hats annoyed him when he was working so he'd grabbed a rubber band to contain it without a thought as to what it might look like apparently that had been a mistake today they were finishing up the shingling on the exterior of the wayfarer which was due to open in a couple of weeks they were on track to meet the aggressive deadline mac had set for the project and had turned the interior over to nikki the general manager she and the team she'd hired of the last few months would be loading in furniture this week week setting up hotel rooms and the dining room hanging wall art and making finishing touches ahead of the grand opening on memorial day weekend on saturday of that weekend the wayfair would host it's first major event the wedding reception of shane and his fiance katie lowery they joked that they were the guinea pigs to test out whether the mccarthy family's latest scans that island business venture was ready for prime time the day after the wedding finn's famous cousin evan mccarthy would headline the outdoor stage at the grand opening to the public so far the wayfair was a huge hit with nikki reporting that the hotel was sold out for the summer and ten other weddings were already booked that was what they wanted to hear each family member had stake in the business some bigger than others but everyone had put something into his uncle big mac's latest venture so they could all be owners finn was proud of the work they'd done to bring the old place back to life and even prouder of being part of something the family had done together before going outside to get to work then slathered sunscreen all over his face neck and arms gathered his nail gun and a ladder and followed the others to the scaffolding that was set up on the north side of the huge building they'd spent the winter renovating they'd done a damn good job if he said so himself,1
0008322651,it's meals on silver trays we went there to meet the french relatives because that is where they like to go on holiday from their homes in paris albeit rarely with one another even though i was only five at the time my memories of this holiday are clearer than of ones i took in my teens and twenties partly this is from the novelty of being outside of america for the first time and the experience was as jarringly formative as the first day of school or my first job but it's also because my family takes so many photos and more photos were taken of this holiday than of most people's weddings mainly by the family photographers my grandmother's brother henri and my father we are also a family of anecdotal lists and it is impossible for me to separate now when i actually remember about this trip and what i remember from the photos and stories told afterwards am i remembering actual memories or are they memories of memories in my family the line between the two is not always clear but everything i have written here about this trip has been corroborated by those wise enough to make this distinction better than me my parents in other words on our first night in deauville we arranged to meet everyone at the front of the hotel dining room before dinner i assume that my french family would turn out to be like my american one and i'd be running up and down the beach with my new relatives the way i ran around cincinnati with my cousins because in my five years of experience that's what extended families were like but when we arrived in the dining room a group of impossibly old people was waiting for us none of whom looked predisposed to run anywhere only two of them could speak english alex mcgee and sonya the rest just smiled and nodded at me and i gripping my mother's hand shyly did the same back to reveal it turned out was nothing like cincinnati so it was with some relief that i saw my grandmother arriving the last of the group at least i knew her and she spoke english but instead of joining us she hung back watching her siblings and cousins just as i was about to go over to her i noticed something i'd never seen before she was crying and then she turned around and rushed out of the room what's wrong with grandma i asked my mother but she shook her head at me and held her finger to her lips i looked up at my father for an answer but he was looking towards where his mother had disappeared and went after her alex mcgee whose real surname was glass like henri and sonya as well as my grandmother originally and it didn't occur to me to ask why he'd apparently changed it had a cabana on the beach and my parents that i could use it to change in and out of my swimsuit having one's own cabana seemed to me the absolute pinnacle of cool but that was before i saw at alex ornstein head on the beach his one giant umbrella red with a blue flag on top and every day we would all meet under it for lunch attended to by smartly dressed waiters even though his alex ornstein umbrella alex mcgee dominated those lunches he was small bold and tough like a bullet but he loved talking with my father as well as his cousin alex ornstein who he occasionally embraced fondly he didn't give hugs to my sister or me but he seemed to enjoy talking with us telling us about the famous artists he knew none of whom we'd ever heard of because we were respectively three and five years old when i got lost on the beach one day it was alex mcgee and his cabana i looked for b because i knew he'd know how to get me home like my grandmother sonia was short and had red hair but where salah was thin quiet and melancholic sonya was a solid ball of vibrating energy with her bright hair pink lipstick and blue eyeshadow she looked like a firecracker she taught my sister and me how to play bridge and introduced us to panel showcaller which was even more exciting than bridge in the morning she would meet us in the hotel lobby and walk us onto the beach where she seemed to know every person on the boardwalk who is that i asked once after she'd had a long involved conversation with an older american lady about their respective dogs i have no idea she replied marching onwards sonya's husband henri was at six foot about a foot taller than his wife and siblings but gentler than them and at eighty three still strikingly handsome he would catch my eye across the table and make apologetic smiles for not being able to speak english and he would often hold my grandmother stroking her hair like she was still his baby sister when sonia and al six mcgee argued viciously over lunch henri would just sit back letting it blow over we all knew you shouldn't get between a firecracker and a bullet alex ammonia ornstein where the fray list and in many ways the easiest going members of the group often acting as peace brokers between sonja and alex mcgee being in ornstein seemed to be less complicated than being a glass despite obvious differences from cincinnati i had a wonderful holiday i was introduced to french culture essentials such as triple scoop ice cream cones and begets but the grown ups occasionally seemed to be grumpy especially sonja and alex mcgee,0
B00SYZ86UO,he couldn't remember the last time he'd been properly hung over overindulgence was not his style it walked back to the gold nugget motor lodge with a sway in his step the five or six shots worth of liquor in those drinks like a bender to a normally tempered man to a man who craved self discipline he had escaped slipping out of range of a cat's batting pause before he could find out but raina might want out of him without of ended with duncan's body wound in her sheets or did her pleasure come merely from her ability to wind him up she had far too much control over him and control was a commodity duncan treasured above all others so rather than follow the flirtation to it's natural conclusion it added to the motel popped a couple of ambiance and more than a couple of ibuprofen and woken up with a brass band playing in his skull and chores beckoning always chores the bathroom fan were all around him and the world was speckled laminate and smooth white acrylic his knees hurt the towels and bath mat and his lounge pants doing nothing to protect them from the biting tile but he wasn't bowed before the toilet sick from the vodka know he was sick in a far different and deeply familiar way his shoulder ached and his lower back and he felt high from the bleach but that was good surely meant the stuff was doing it's job he scrubbed at the plastic tub plastic worst porcelain would be so much easier to disinfect plastic never felt clean enough to trust me never degrading though these chores were the calm was coming to him now the fumes and the ritual were subsuming him quieting his brain banishing the panic and the pulsing headache he could hear his bygone foster mother's voice in his head that soft cultured accent offering the only kind words he'd known in the first half of his life look at that you cleaned that all by yourself what did i do to deserve such a good helper to deserve him insane those words had seemed insane and wondrous as a choir of angels after ten years of being called a burden at every turn thirteen measly months had gotten with his silver haired savior then she'd been taken away her kind voice and eyes hollowed out by a stroke that had scared duncan worse than any slap or threat issued by his harsher guardians she was gone as quickly as she'd appeared and duncan had been dropped neck deep back into the shit of the foster system just over a year she given him one good year and a fondness for wagner and this compulsion to clean when he felt uncertain he scrubbed harder so hard that it rows the perennial akin his right elbow cartilage whining repetitive strain injury a doctor would tell him whatever you're doing knock it off same as a doctor would tell the masochist to quit but self flagellation and those raw red stripes would clear right up yes because that's going to happen he might as well give up breathing while he was at it the bucket was just about empty the scrubber sponge shedding blue flecks he braced his rubber gloved hands on the edge of the tub and shakily made it to his feet joints wailing he turned on the shower to rinse his handiwork clean pretty damn clean the tub was shining the sink to the mirror spotless and the grout between the mint green backsplash tiles wider than it had been since the carter administration surely no surface neglected no room for oversight the plastic would never be perfect but by any the one standards no trace of this tubs former sins had been spared he felt marginally cleaner himself satisfied he snapped the gloves from his hands and draped them over the rim of the empty bucket he washed his hands once twice three times rent to the sank he flipped off the light that left the fan on to second perfumes he eased the bathroom door open a couple of inches peering out and finding his roommate predictably planted at the threshold keep out astrid bad enough your daddy's disinfected half his brain cells let's keep one of us lucid with a gentle push of his foot the tabby gave up her post rising to stretch and sauntered toward the bed duncan shut the bathroom door at his back and gulped two lungs worth of comparably fresh air air he wandered to the edge of the bed and switched on the tv greeted by the regional news,1
B00BYGAVR6,mary took a deep breath inhaling air that was cleaner than any she'd ever breathed before this was a good place to make a life for herself she couldn't fail here she knew it this tiny little dot of land in the middle of wyoming was the most beautiful spot she'd ever seen and how could it be anything but good she shifted the bag she had slung over her shoulder and started along the trail that cut through the grass regardless of how much she loved providence failure wasn't an option at this point anyway she was thirty years old she'd been floating through life like a bit of dandelion fluff on the wind oh she'd touched down occasionally held jobs for a year or two bank teller sales support blackjack dealer dog walker she'd even gone to school to learn to do hair but the only good thing that had come out of that that had been her friendship with grace she was a jack of all trades and while she hadn't mastered anything she was a hard worker she wasn't lazy she wasn't dumb even if her cousins had given her the nickname the mary slacker a few years before even if when her mom had bought a new condo she'd cautiously explained to mary that it only had one bedroom so she wouldn't be able to take mary in again that had hurt mary had moved in with her mom for a few months once but that had been for years before what are you talking about she'd huffed trying to hide her injury with irritation why would you even say that i just thought you should know sweetie i won't be much of a safety net anymore a safety net as if mary were a circus performer with a terrible track record okay maybe she'd also moved home a few times after college but those had been short stays and yes she lived life one day at a time unlike her cousins who were both attractive driven and financially successful family gatherings were a little painful but mary could deal with it what she could couldn't deal with was her newly hatched self doubt hell her mom had always been a free spirit and now it seemed even she was expressing concern squinting against the bright morning sun mary stepped over a tall purple wildflower she could never bring herself to step on despite that it was smack in the middle of the trail over the past year what had started as a niggling worry had steadily grown into an irritation a grain of sand beneath her skin slowly the minerals of anxiety and fear had begun to accumulate around it just above her breastbone pressing displacing now it was like a stone she i could feel every time she swallowed she'd always been happy and she'd always assumed that someday she'd stumble onto that one good thing the job that made work into a passion the love that transformed her single life into something bursting with joy it hadn't happened because things like that didn't happen she decided that attitude would only buy her more years of floating over life mindless and untethered tossed about content to be lost not any more not this time not in providence,1
B076KQY7KZ,determined to prove he doesn't need anyone his older brother brett is getting married soon and dispenser has announced he won't be attending i want him at that wedding with a look of amusement alethea said how exactly would you like me to change his mind to linda took a photo out of her desk drawer and laid it down facing alethea hayley tiverton she and spencer dated in college stephanie said it ended abruptly and spencer pie and for her for a long time she's the only woman his mother thinks he's ever really cared about i want you to find out why they broke up and bring me a full report on her if i approve of her he will arrange for her to come work for me alethea smiled slowly delving into west literally you're a romantic at heart in response to linda touched the tablet on her desk to wake it and then turned it to face alethea she gave the woman a moment to absorb the headline of the online article as well as the photo of spencer leaving the club looking as disheveled as the scantily clad woman on her his arm i want my grandson back he's a good boy not this he's miserable he doesn't look miserable de linda spun the tablet back are you interested in helping me or not the pie i took a moment as if she were debating the same question i am she paused then asked when you said i'll arrange for her to come work for you what did you mean this is where your skills come into play you will close every door around her until i'm the only choice she has that's a dangerous game the linda stood and here i thought dangerous was your fort it is alethea rose to her feet i just hate to see you hurt by this raising her chin de linda answered my dear at my age pain is a friend of mine time is the enemy it has been a year my grandson needs a shakeup and if he felt half as much for this woman as his mother thinks he did i'll have him married and in my life again by the wh holidays first though we need to get him to attend brett's wedding it'll break brett's heart if he's not there alethea whistled i have to admit i admire your confidence confidence or desperation it didn't matter michael dillon called out to her butler please show miss north korea us out before the detective left the room to linda added i'll expect that report by the weekend alethea nodded before turning to leave alone dillinger sank back onto her chair and picked up the photo of the woman she'd sent alethea to investigate brings spencer back into my life and you'll have everything you've ever wanted in abundance hurt him again and you'll discover exactly how much fight is left in this old broad chapter one hayley tiverton reached across the taxi seat and took the hand of her seven year old niece it's going to be okay sky you'll see i hear there is a private beach and you love the ocean the guest house is twice the size of my apartment in mendon will be happy here you'll we'll see her niece didn't say anything but she'd hardly said a word in the years since her parents died in a car accident just thinking about it had haley clinging tighter to the child that her brother ryan had entrusted her to raise a little girl she was still desperately trying to reach i know you didn't want to move baby but we're not that far from your old place and we didn't have a choice i couldn't afford the rent hike and i lost my job because i've used every last one of my sick and vacation days to be with you haley let out a shaky sigh sky didn't need to know how frustrating the months of unsuccessful job hunting had been or why they'd taken a taxi instead of the car haylee couldn't yet afford to fix things were just about to turn around for them working as a personal assistant for an elderly woman after being a purchaser in retail was hardly a dream come true but it promised good pay and stability i've had an odd way of circling back,1
B00AADL1L4,thirty years later the phone rang i put down my red pencil and picked it up what i don't like to be interrupted my neighbors have the good sense and better matters not to bother me when i'm working worst i get during the day is little tommy olson knocking quietly on the front door then equally quick sadly going away that's why i have my phone under my real name the phone company won't let you do anything else but keep it unlisted i don't use my real name much particularly in my business it's a source of much idle amusement by people who are far too easily idly amused it's also the way i try to avoid getting stopped for speeding all cops have senses of humor but almost all of them seem to have stupid senses of humor there was a long pause on the other end and i thought about hanging up people have no manners you'd think that when somebody got a wrong number the first thing they do would be to apologize or if they didn't have the ordinary decency to do that they just hang up mr hemingway she sounded black yes i know voices have no color but people do and she sounded black and young two strikes against her in this world yes i just let it hang there ernest hemingway not the ernest hemingway he's dead he stuck his father's shotgun in his mouth and blew his brains out before you were born don't let anybody tell you there's no value to a classical education yes my name is ernest hemingway what do you want it was her turn to pause my father said i should call you i would have hung up on her i don't happen to have any black friends i don't in fact have many friends at all and i certainly couldn't recall any friend black or otherwise with a teenage daughter but while i hate to be interrupted when working i hate getting back to work even more what i do for a living is varied dull when it's not irritating but it pays the bills which i guess makes me an ordinary sort of guy after all my father is george washington bubble washington nicole he said you used to call him pres as far as i can tell the personnel division of the department of the army was filled with practical jokers whoever found four guys with famous names and put them in the same company probably got an oak leaf cluster for his creative assignment badge i'm not sure whether captain black ended up putting the four of us in the same tank for the humor value he never did seem to have much of a sense of humor war because he wanted to put all his bad apples in one metal barrel but it amounted to the same thing i leaned back in my chair and took a sip of coffee from the i love my mommy mug that i bought at a garage sale in the spring it was cold and bitter instead of hot and bitter i like hot and bitter better how is pres when you get to be my age you usually don't like the answer to that question but it has to be asked usually it's he died of cancer last year or he had a heart attack or he killed himself or some other equally jovial response he's dead mr hemingway they shot him i guess i could have asked her who they were but i didn't would make much of a difference anyway it certainly wouldn't have made any difference to press him being dead no so i asked anyway they who were they bangers bangers gangbangers crips and the police police sheer and he said you should call me yes he said that if anything ever happened to him i should call you and what did he say you should do when you called me just tell me that he's dead or do you have something else on your mind you have to be so me little girl you don't begin to know the first thing about what i do and don't have to be there was a quiet sound of crying on the other end of the line i sipped some more coffee it hadn't gotten any warmer it had been a decade since i had made a woman cry when jennifer had left she had left mad and dry eyed and it didn't feel any different a combination of a distant pleasure that i actually had an effect on another human being and a sense of disgust with myself that this was the only effect i could have on anybody else she hung up leaving me alone with my cloudy and distant pleasure and my clear and present disgust,0
B007Y7LT70,after reading dr cassidy's notes i have to admit i was a little speechless to more than a little actually that strange case notes began to side with schaefer after the sixteenth visit they no longer contained any of his personal feelings that must have led to the affair then doctor cassidy has stopped making notes on the sessions altogether how incredibly odd not to mention unprofessional i assume that their affair had begun by then if i needed any more proof of what a clever and highly disturbed psychopath shaver was i had it in dr cassidy's notes late that night i got a call to head down to the crisis room again i was told that the wolf would be calling very soon this had to be something that count down must be about to start when the call came through he began in a low key manner thank you for getting together again on my behalf i'll try not to disappoint you or waste anyone's valuable time directors burns bolin where do you have anything you'd like to say before i begin he told us to listen said burns were listening there was a burst of laughter from the wolf i like you burns i suspect it'll be a worthy adversary by the way is a mister mahoney there in the room the head of the hostage rescue team and a friend of mine glanced at ron burns who nodded to him to speak ned mahoney's sat hunched forward in his chair and he was giving the wolf the finger cats i'm right here i'm listening he still had his middle finger extended what can i do for you you can leave now mr maloney i'm afraid that you won't be needed you're too unstable for my tastes too dangerous and yes i'm quite serious burns motion for mahoney to go there will be no need for the f b i's hostage rescue the team said the wolf if it comes to that dolly's laws die assure you i hope you're beginning to understand how my mind works i don't want a child they mobilized and i don't want any further investigation call off the dogs already law listening no one is to try to find out who i am or who we are do you really understand please respond if you do everyone in the room called out yes they understood once again it seemed that the wolf was trying to make us feel like children or maybe he just enjoyed humiliating the f b i cia and homeland security and anyone who didn't respond just then please leave the room said the wolf no no no sit back down i'm just having fun at your expense i am what you might call a creative type but i am serious about mr mahoney and about there being no formal investigation i'm deadly serious about it in fact now then let's get down to today's business shall we this is an interesting juncture actually i hope someone is taking notes there was a pause of approximately fifteen seconds then the wolf resumed i want you to know that targeted cities it's time for that there are four and i would advise that these cities prepare for the worst possible case scenarios the city should in fact prepare for total destruction another pause then the targeted cities are new york london washington frankfurt these cities should prepare for the worst disasters in history and not a word of this goes public or i attack immediately then he was gone again and he still hadn't given us any deadline,0
