asin,document,label
B00D2WFL2U,but candles were scarcer than food then and i don't like to use rains not oil the mingled smell of rotting fish and dialed fat wasn't a nice kind of after shave and doesn't in the chicks sadly it was that or nothing so i went with nothing since the glow had been destroyed by yours truly power was at a premium down this far in the city son was a rumor it wasn't much past noon up in the rarefied air of over trade in height and clouds and top of the world ministry lived in the sun as shielding it stealing it from us dregs that much hadn't changed yet but might never down here in under beneath the factories and warehouses of trade that were eerily silent now it might as well have been midnight even the cunning network of mirrors and twisted light well as that gave my office a shred of real actual sunlight for about three minutes around noon and an almost constant dusk for the rest of the day failed this far down i told myself that i didn't need light for what i was here for true i didn't rather what i needed was pain my pain which was a bitch but i tried everything else and everything else hadn't worked denzel was waiting and i didn't like to disappoint and not just because he's my landlord and boss he's my boss because if he concentrated he could spread me over a large portion of the city he could do it accidentally too which was more likely but i always found it best not to make him white he gets all insistent about his little obsessions and it's easiest just to go along besides i owe him a couple of legs in as without his help i probably would have blown mine off long since while i learned my magic so here i was the boy daniel was after was a downside a refugee no records no known address not even a name to go on all i had was a scrap of cloth and a hunch of dentals it was magic or nothing left to my own devices i'd have said screw the little sod and abandoned him to fend for himself no better or worse off than thousands of others quietly starving to death in the dark down here responsible isn't high on my list of qualities in fact i usually try to make sure it doesn't even appear on the list but then builds persuasive and also really good at guilt tripping me even if he doesn't mean to i hoped he would appreciate it because this was going to hurt and i don't like to hurt with my good hand i rummaged in my pocket for the scrap of cloth dental had given me there wasn't anywhere to sit that didn't involve what was probably synth tainted water the damn staff still lingered still made people sick from the inside out even now so i crouched down and leaned back against a rickety wall that i hoped would take my white i was getting better at this but still had a tendency to end up on my knees when i tried because it usually felt as though i was about to pop an eyeball or perhaps a bullock i liked the scrap of cloth on my lap and stroked it with my good hand my anchor that cloth the little bit of salmon that would help me find them in this case a boy if i didn't know someone well then i needed a prop to help me find them something of theirs usually something intimate to them on the plus side i didn't need to dislocate my thumb to power up my magic today on the minus side that was because i'd fucked up my whole left hand and the incident that had led to all the glow disappearing the hand was still healing and all i needed to do was try to make a tight fist to have white spots run in front of my eyes and power run through my veins there has to be a better way to cast a fine spell any kind of spell but i haven't figured out what it is yet when i do they'll hear the halla fuckin lulea from the top of the world all the way down to the bottom of the pit i might have fist and pain spiked through me along with magic sweet and alluring and oh so dangerous it spun around me through me calling always calling in and out quick as i could that was the best way before it tempted me before the black rushed up to claim me i'd beaten the black before once but i wasn't so sure i could do it again it was always there waiting to trap the unwary seductive and tempting the price of my magic wasn't a pain,1
B015NL50YQ,jellicoe his voice was clipped precise my counts so far are proving true right to the tenth decimal we don't have enough fuel left for snap out in flat space we've got to use a gravity well dane thorson glanced again at the fuel level panel he'd been watching it for the last hour he knew they all had the captain had computed it very close but he was right unless they exploited the dimensional weakness caused by a planetary mass they wouldn't have enough fuel to emerge from hyperspace or rather snap out wouldn't leave them enough fuel to rendezvous with exchange the trade city in orbit above mycosis as it was it would be close one minute to snap out the captain said and the engines snarled as they wound up towards the surge of power that would catapult them back into normal space dane pressed himself into his seat reaching to connect his restraining belt and a tremendous bang shook the ship dane's head rocked and he clutched at his pod arms trouble lights flickered on the captain's console and from the calm to the engine deck came fluid curses from the usually taciturn yohannes stotts the pseudo gravity of hyperspace suddenly vanished as the familiar fleeting nausea of snap out seized dane and he almost flew out of his seat before he managed to get his magnetic boots back on the deck and synch up his seatbelt snap out wilcox exclaimed and then in a sharp voice we hit a knot coordinates jellicoe commanded find out where we are and what lies on our course wilcox's fingers were already flying over his console dane looked at captain jellicoe whose face was unchanged as he scanned his instruments this was the most dreaded of all events safe plague for the gravitational distortions that had thrown them out meant the existence have a close or large mass and where there was one there were likely many had they somehow flown into an uncharted asteroid cluster dane wondered no steam wilcox was too good for that as he watched the ordered haste of his fellow crew members at the controls dane became aware of a presence near him and a faint pleasant smell of lavender he glanced up the pneumatic rail covert stood in the bridge hatch just behind his seat a watchful look her changeable violet eyes so she too had to be on hand to see what happened,1
B002V5CVJU,equivocal worshipped in theatre and boudoir scorned in st and court casanova genealogy claims that while performing in venice this gitano supposed scion of the spanish lime met the later pharaoh see the beautiful sixteen year old daughter of a shoemaker and eloped with her the patriarch of venice pietro barber ego married the pair on the twenty seventh of february seventeen twenty four but three weeks before that senator's father died of chagrin at his daughter's miss alliance of this marriage are giacomo born on the second of april seventeen twenty five was the first child having married a social pariah as an eta now had no recourse but to go on the stage to which she had once did to unpleasant roommates cloud this romantic picture the first is the jackhammers father by the flesh was not gitano casanova but micheli a ramani of the patrician family which one the santa somewhere lay theater where gitano and letters aneta played it is likely that the theater owner had his way we'll have all the actresses and hangers on at his theater quite probable that he met no resistance in the process and when he got a girl into trouble he would arrange for a peasant or underling to marry her for a consideration such things are not unheard of even nowadays all her life as aneta was a woman who knew how to look after herself her pregnancy cannot have been the cause of the marriage for giacomo was not born until thirteen months after it but she may have used an earlier false alarm to put pressure on crimini or she may have simply asked for the marriage as reward for a long relationship with him whatever the motivations or the means the netta in the end got herself respectably mad married and at the same time established an obligation by the grumman is in the patrician oligarchy of old venice this would be useful to herself and invaluable to her children casanova certainly believed himself to be grumman his son he said so in a later pamphlet and in writing this chapter of his early life he he sets down the following sentence my mother came back to venice with her husband not notice with my father according to the other rumor gitano was not the father of the net his next child either francesco born in london in seventeen twenty seven is said to have been conceived while she was the mistress of the prince of wales later king george the second of the rest of the family only three reached maturity and jacques imo's brothers giovanni battista xda born in seventeen thirty and gitano l vizio born posthumously and seventeen thirty four and his sister maria madalena antonio stella born in seventeen thirty two was another casanova left giacomo and the rest of her brood in venice in the care of their maternal grandmother while she pursued her profession or professions all over europe giacomo was sickly and upset and suffered from those leading he claims that his first memory is of something that happened when he was eight but it does not take us psychologist to guess that they were painful earlier memories subconsciously suppressed those first years so full for most of us of mother love of sibling play of widening discovery in nursery and school laid the foundations of casanova his character he says that he was slow and dull witted but we know that in fact he he was of marked intelligence and quick wit if he suppressed those qualities it was because he knew he would not like what they would force him to understand that his mother did not love him and was barely distinguishable from a whore and that the family's social position was one step above the gutter with the other foot still in it the stuff of that first memory as of the second which he places six weeks later is of great interest the first was of a particularly heavy nosebleed and of how his grandmother cured it of a witch and being shut in a box of incantations and shrieks of a beautiful golden haired woman coming down the chimney with presence of oaths of secrecy the second memory was simpler he stole a crystal and when his father started to look for it he dropped it into his brother francesco's pocket francesco got a beating and casanova chalked up the first score in another of his remarkable skills the art of making enemies consistently unwise he he could not resist telling francesco what he had done a few years later he never forgave me and never missed an opportunity of getting his own back he wrote plaintively but in fact he saw a lot of francesco during his life and the relationship between them was not hostile casanova himself did not seem to realize how closely those two memories fit the pattern he imposed on his life beautiful women representing his missing mother,0
B07R7432SV,although she'd been clean for two years after five years of jamais vu addiction cotton couldn't trust her memories but the girl just admitted to the bird clinic a wastrel with open sores on her chin and cheek and skin as pale as bleached bone looked hauntingly familiar john chi the head nurse and her only friend guided the new girl to a retain chair in the sunroom where she slumped arms dangling lifeless lead to either side and head lolling against the headrest he gently thumbed her eyelids closed only her diaphragm moved an angry red patch of skin above her ear showed where her plink had been removed he returned to the intake pro assessing station where he could keep an eye on the new girl and cotton joined him there what's her story cotton asked hopping onto the counter the marble felt refreshingly cool against her thighs she was scrolling through the medical records on his look-see junkie private care some one must have money that's what the fourth private care in the last month i have a theory she said and placed his index finger against his mouth my lips are sealed cotton said doctor vijay's planning a month long vacation to bangalore six months ago he couldn't have afforded a weekend fishing trip to the lake so he's taking in some paying customers can you blame him wards of the court like me aren't going to make him rich the new patients troubled her over the past two years she'd grown fond of the routine of the clinic and that harmony was being disrupted but who are these people she answered his own question rumor has it they're connected even drug dealers have trouble keeping their kid noses out of the family product then the doctors playing with fire isn't he also one thing i learned from my years as a junkie it's hard to stay out of trouble when you deal with criminals hey i know you neither she nor cotton had noticed the girl wake up but there she stood wavering pointing at cotton she spoke out of the side of her mouth you're the one that squealed on tim o'brien she giggled which turned into a deep long cough when she regained her breath she added i wouldn't want to be in your shoes lady timmy promise sheep had one hundred grand for your scalp cotton recognize the girl more from her mountain accent than her face a backstabbing little minx with an unquenchable thirst for narcotics she'd accompanied the drug kingpin on his nightly morgantown club circuit a spare tire willing to be loaned out when o'brien wanted to curry favor with someone after the crew was busted cotton had refused to testify against o'brien however the prosecutor kept her hidden away while she convinced o'brien ryan that cotton had agreed to be a state's witness against him believing the story o'brien had accepted a plea deal for a reduced sentence of twenty years after the case was settled west virginia decided to stash cotton in a rehab clinic instead of one of the state's prisons so that prisoners wouldn't find out how o'brien had been duped it home op to use the same strategy on other dope dealers when the district attorney told cotton what they intended for her she'd asked to be sent to the other end of the continent to avoid running into familiar faces but to her dismay the judge decided that downtown parkersburg was far enough cotton had known even then that the da was wrong the girl was assigned to the same ward as cotton and once dr vijay a sri had dialed back her sedative dosage to the point she could interact she sought out cotton as though they had once been pals cotton who had befriended most of the patients that passed through the clinic found it easy to play along while she tried to determine and the danger that the girl posed here she said handing the girl an insulated cup with her name scrawled on it in black marker the ice machines in the common room the staff's answer to everything is to drink more water if you're looking for a patient always start in the bathroom what do you have to do to catch a buzz in this joint you don't you'll get your narcan not at lunch cotton said other than that there isn't a drop of dope in the place except laxatives they love laxatives too there's a reason the place has more toilets than armchairs you been here since the bust bust you must have me confused with somebody else ca cotton said looking the girl in the eye bullshit the girl replied as she raked what was left of nails on her right hand over needle scars on the inside of her left elbow i am not so far gone i don't remember you stopping sheep head that night and ashlyn when he was going to break my jaw for snorting up the party stash that had really happened cotton thought she dreamed that so hard to tell the difference,1
B07B3YMKXD,in the early nineteen forties this little boy was staying with his granddaddy as he often did he was outside shooting marbles in a dirt yard when an older model a car pulled up a big tall man with a stetson hat pulled up to the house and walked over to the little boy's granddaddy and said hello there mister jim how are you doing the granddaddy spoke to him and told that little boy to go over and play that he had some grown-up talk to do well in those times young and didn't sit around where adults were and they didn't listen to adult conversations as soon as the conversation was over the little boy ran over to his grandaddy and said who was that me the granddaddy was silent for a moment then he said son son that's the high sheriff the little boy asked what is a high sheriff i don't know what that is the granddaddy sat there for a minute longer thanks king and then he said the high sheriff is everything to everybody john perry mcdaniel the third tenure as sheriff began and ended in tragedy but his faith in god remained uncompromised this book will present johnnies multifaceted life from the times of his earliest childhood memories youthful escapades high school football rivalries military service marriage children murdered loved ones law enforcement career and ultimately his transition an adjustment to retirement the high sheriff gives you an up-close and pearl personal account of the life of john perry mcdaniel the third i hope through the pages contained in this book you will come to know and appreciate johnny mac as i do he is an unforgettable character a child son father husband friend survivor and the man behind the badge he is a throwback to the days when a handshake was all that was needed to finalize a deal self made god fearing man of courage i am proud to call him my friend,0
B00OYAR4F6,world to the man had not noticed him and jake wanted it to remain that way something held the guy's attention inside the portion of the structure still standing jake was leery of people and more-so of ones who skulked about and didn't announce their presence as the world regressed continuing a downward slide that began some two hundred years earlier there was no law enforcement and no doctors no one remained alive he depended on no family no friends the walls of the solitary prison jake lived in were martyred with distrust if the man he watched happened to be up to something nefarious the outcome could not be good toward whom he didn't know nor why and didn't care but he was curious all the while he continued rubbing the aching foot whatever was inside the building continued to hold the man's attend then he sneaked to a rusted out hole in one of the corrugated metal panels and watched for a time jake wondered what in god's name he was so intently staring at the man pulled away and searched the ground snatching up a jagged shard possibly a piece of the metallic skin off the old barn jake finally got a good look at the stranger's face the man smirked rotating the rusting metal in his hand feeling for the better grip then turned and glided high on his toes disappearing from sight around the back corner of the dilapidated structure jake heard an angry male voice coming from inside but nothing he understood suddenly he was immensely curious and had to know what was going on inside that old barn he pulled his boots on then sprang to his feet he ran to the same rusted hole the man had used but stopped to the side of it he moved laterally until he could see the goings on inside the man had confronted a pretty wisp of a woman with long blonde hair about twenty five he guessed there was nothing about her appearance that indicated she could protect herself i'm not telling you again give me the sack the man bellowed brandishing the metal shard menacingly the woman didn't seem the slightest unnerved i can't do that she said in a friendly town it's all the food i have but i'll share with you she smiled although calm of voice her stance was defensive legs spread and arms crossed over her chest blocking his view of the cloth bag on the ground behind her clearly this wasn't the first time she had been challenged how can she be so calm that guy has crazy eyes jake thought people get killed for less every day she was smooth skinned and feminine and certainly did not convey the appearance of a fighter the man stood more than a head taller what's your name she he asked last chance give me the sack sorry i can't do that he lunged the jagged piece of metal leading the way to her abdomen she spun sideways stabbing a boot heel into the rest of the weapon holding hand his fingers sprang apart and the strip of metal slammed clanking into the wall he roared and grabbed his wrist resuming and at ease posture she let her arms fall limp and then held her hands out and a show of acceptance look i don't want to hurt you i don't even want to fight you believe me when i tell you there's nothing in that sack worth your life or mine let's try this again what's your name she said almost pleading from between hair covered lips the man bared crooked yellow teeth snarled and charged with uncanny speed she leaped nearly six feet off the ground and locked her legs around his head before twirling to the ground his spinning body followed hitting the ground in an exp slogan of dust the woman rose and dusted the brown denim vest she wore over a loose fitting lighter brown shirt now look what you've done my clothes are dirty i just washed them yesterday she clucked her tongue for heaven's sake she said eerily nonchalant still slapping dust from her pants jake looked on surprised and awed by what he had witnessed she was marvellous a fine boned woman incapacitated a much larger man with speed that boggled his mind now the wretch lay on his side semiconscious she squatted next to the man arms over the points of her knees jake was enamored her hair caught afternoon raised through the wide doorway glistening wisps dancing over her,1
B077W1B26R,raden slammed his fist on the table the sound startled the others ending their argument and drawing all eyes to him in the ensuing silence he struggled to contain his anger the muscles of his neck clenching as he spoke it's been two months he said the lydian didn't just disappear he z gesture said and offered a faint smile she's too beautiful to be dead red snorted although his logic is ridiculous gesture is right they wouldn't have killed her raton looked between them wanting to shout to rage against their logic but they had fought together for years and he trusted them with his life their words also carried the ring of truth a former assassin justo was tall and slender a perpetual smile on his face for weapons he favoured a sword and shadow whip but he carried a number of other blades he could have armed a small army with his collection of knives alone sitting beside him red was just as opposite in many ways she'd been raised on a farm and married a soldier and had never touched a song ward until her husband had been killed then she armed herself and gone to war throwing herself into training with unmatched zeal they had been ratings lieutenants since he'd become the soldier both had suffered at the hands of the very shy and together they had started a war with the mighty guild paid thought the very ni were a threat but never realized the magnitude of the very nice ambitions comprised of mages with multiple talents the veyron i had existed since the dawn of magic for thousands of years they had been a beacon to the races they had built says eighties increased the yield of crops to stave off famine and created hundreds of new spells all to aid the people of luminaria but over the last century they had secretly turned themselves into an army with the oracles as allies they had positioned themselves to turn the divided races into a major empire until a lydian defied them as the youngest article on the council a lydian had no nothing of the coming betrayal then she'd begun secretly training as a rune god and learned the truth of the impending treason she'd united with written to bring the guild's actions to light ultimately facing another oracle on the council in the end suing dual oracle rain had been killed and a lydian had disappeared the next week the very shy and remaining articles had overtaken the human and elven kingdoms in a single swift strike eliminating political and military leaders that opposed them very ny gods turned on their royal master's leaving nobles dead and their lands in control of the veyron i rather than condemned the action the oracles had joined with them and now called themselves oracle empresses shocked and bereft of leaders or allies the people woke to find themselves living ing in a major empire many tried to resist but the veyron i were positioned throughout the human and elven kingdoms and the insurrection died before it began soldiers loyal to their kingdoms filled the prisons with the more vocal scheduled for execution with any patel angel rebellion quelled the oracles launched an empire wide hunt for raiden and his band of defiant with the noose tightening by the day reagan and his lieutenants had searched for a lydian but failed to discover her fate when the hunters began to close in raton and his companions had taken refuge in an abandoned in several days outside of terrace creighton turned to the last person at the table who do you think death can sat with his arms folded his eyes staring into the distance his salted black hair had grown disheveled in recent weeks grizzled and formidable he'd risen in the ranks of the rune god without a shred of magic becoming a weapons master tactician and warrior but that had ended when he lost his foot devlin had been captain of a lydians god prior to her disappearance and had joined her in their infiltration of various if they had retrieved evidence to prove the very nice assassination of king tallinn but devlin had lost the lower half of his leg during their escape his clothes were rumpled and he'd grown a beard beard a shadow tinged his gaze and he looked like half a man they would not kill her death can finally said her mother is too old to bear another child so killing a lydian would end another article bloodline they would force her to bear a child just asked incredulous deaf can rubbed his beard and looked away but did not answer or aden sighed and sank into his seat if she is alive that means they hold her captive how does one trap an oracle red asked folding her arms they can do every type of magic even see fragments of the future enough anti magic wood quay genuine gesture set reaching back to flick his anti magic sword raiden leaned back in his chair his anger fading into doubt the question remains how can we help her if we cannot find her death can growled at the question why can't he retorted stabbing a finger at the room not from this hole of a refuge room biden couldn't argue with that the inn had been abandoned decades ago and the forest had sought to claim it vines lined the walls with some threading their way into the dilapidated interior barrels and crates lined the basement their bulk hiding a secret door all leading to their private room the hidden chamber contained dingy beds and a table in the center the room had been their home for weeks while the patrols of soldiers hunted for them,1
B00CPO8TBQ,the ominous cloud swirled heavily about the dark shapes that moved silently forward in the night a cold autumn wind blew torrents of rain into their faces and icy water trickled down through the gaps in their ragged cloaks it froze into slush on their shoulders but they did not complain a flash of lightning briefly illuminated the scene and revealed hundreds of axe blades and spears pointing upward and beneath the cloaks thousands of cruel red glowing eyes yeah the mist wall was on the move again and these creatures of the darkness felt not the cold for they were filled once more with the fire of victory an enormous warhorse plodded among the figures and it's rider loomed above the others in the freezing blackness screen was happy more than merely happy he was ecstatic his thin blood coursed rapidly through his veins his body quivering with the anticipation of a child awaiting a present he could feel the song victory building at the back of his throat death and destruction stretched in all directions as far as the eye could see even in the cold and rain blood saturated the ground and the anguished cries of the dying rang in his ears like the crew pistol notes of some glorious song torrents of black rain pelted the miserable defenders of the village of cairngorm those few who were unfortunate enough to still be alive and a layer of freezing sleet coated the forms of the dead who would never rise again their swords still clenched in their lifeless hands cole old steel trampled into the bloody frozen mud the battle was in it's final stages and none of cairngorm would survive in the distance could be heard sporadic sounds of battle where screens minions those hideous battalions of orcs goblins and other unspeakable creatures were eradicating the last bits of human resistance around them all came the missed wall a sinuous curtain of writhing vapor that swallowed forever whatever and whomever it encompassed the village and also castle cairngorm had been valiantly defended by it's loyal citizens but thanks to the workings of screen their magic protection was gone and the defense was now hopeless soon all would be enveloped by the mist wall screen rose in his stirrups there was another flash of lightning and the huge magician was startled to see a small group of mounted knights charging down upon him from a nearby hill in what seemed like slow motion screen reached under his frost covered for cloak pulled out a compact ebony wand and pointed it in the direction of the impending attack it's almost too easy murmured the magician to himself with a smile the sound of thundering hooves was now clearly audible above the din of battle and the noise of the storm the screen uttered a rhyming incantation just as another flash revealed the nights almost upon him a small ball of fire flew off the tip of the wand and grew into a massive roaring flame which enveloped the unfortunate horsemen before they could strike when the smoke and fire had cleared the few dazed survivors vanished under a solid wave of axe wielding goblins the second battle of cairngorm was over and done the miserable village and those who had died defending it were now but a memory swelling the mist wall to slightly greater proportions and extending it's black border of death screen nodded to himself and stroked his blonde beard which had grown in nicely following his fiery encounter with the sorceress elizabeth of moria were it not for her and her meddling cohorts this worthless village would have been his long ago now it's conquest gave him a satisfaction all out of proportion to it's real importance in the grand scheme of things,1
B079RMTCRB,i've only ever spoken to maxson and griffin read over the phone when we finalized the sale of his twenty five million dollar pad the price is steep i know but i wanted the privacy and the islands aren't cheap a it's paradise more importantly it's home my roots feel so damn good to be back in hawaii will i figure out what comes next in life i decided to come early arlo the house sitter nice to meet you new to l m gather my things i've been here for nearly a month so i've made myself at home it'll just take me a couple of hours to get out of your hair no rush i sure thought i'd grab a little pool time myself you're not in a hurry i wouldn't mind the company actually when i walked in the door ten minutes ago to set down my luggage i was thinking more like a nap and solitude after my long flight from dallas now i'm wide awake and attuned to this woman maybe some flirtation in the water will convince her to get horizontal with me the view of the crystal ocean and tropical scenery is pretty damn romantic after all really you don't mind at my nod she breathes a sigh of relief thanks it will take me a while to arrange a ride i don't have a car on the island since i'm just visiting so if i want to tap that i'll have to work quick whereas home san diego or not what's waiting back there job boyfriend she wrinkles her nose no boyfriend i finished my masters program earlier this year i have a job offer close to my apartment i'm taking some time off to ponder if that's what i really want you are or i'm a football player right just retired appear at her i suspect her non response to my name and occupation was disingenuous if i wasn't already convinced she's for real none of the sports on i grew up with brothers when i was little i tried to keep up then i got older and discovered shoes were more fun i laugh in her defense i'll bet she looks good in sexy strappy platforms hell she probably looks good in dollar store flip flops or nothing at all how on earth does she not have a boyfriend too busy with school bother as the only explanation that makes sense because there's no way men haven't noticed her i have a sister who feels the same way about anything requiring a ball i explain at least to my brother trace to talk pigskin with lucky you i'm the only girl swine outnumbered my brothers won't debate with me whether chou or lou baton makes a better shoe i don't understand why with a facetious sigh she sits again and sprawls her shapely legs out in the lounger ankles crossed i smile and look for something to keep the conversation rolling she's more interesting than the usual jock groupie i meet the kind of want to know this woman of course i want to get her bikini off but laying the verbal groundwork for that is a little tougher than i expected i can't remember the last time i had to do more to attract the woman's attention than walk into a room and crook my finger how long will you be staying in maui i ask i haven't decided arlo doesn't say more but her reticent suggests there's more going on than simple school fatigue or job avoidance if she's got a master's degree she's smart probably ambitious girl she didn't copy that by being lazy i wonder what's up wanna talk about it i offer an impartial ear sometimes best and i've got nothing but time for a few months thanks but she shakes her head now that's all she says no niceties no explanations or apologies she's hard to read i'm surprised by how much that intrigued me harlow cocks her head at me so what are you going to do with the rest of your life since you're obviously way too young to sit in your front porch rocker and watch the grass grow isn't that a great question like you i am pondering my options it's another reason i'm hanging out in maui now i left the nfl after my last injury as i played my final game i knew i would never suit up on sunday again everything i devoted my life to since age six suddenly gone to take the field any more would risk my long term quality of life already i have side effects but i don't talk about that the team's doctors refused to clear me to play next season my agent absolutely threw a shit fit when i even suggested rehabbing to get back in the game truth is no franchise will gambled huge salary i command under their cap since they seemed to think i have one foot out the door and the other in the old folks home always promised myself i'd go out on top so i did with a really tough press conference in a slam an after party but now i have no idea what to do at thirty four i'm old by pro football standards endorsement deals are lucrative but not a career i'm a man used to doing not sitting back and counting my money,0
B01FKW1MKE,i asked if you'd like to dance with me it's a two-step you know how to two step don't you is he kidding me this gorgeous man is asking me to go out and make a fool of myself what the hell do i say to that how can i refuse him i've been ridiculously entrance and on some level fascinated by this very attractive godlike creature but i don't want to humiliate myself any more how do i tell him no in a nice way i share what did i just say great he says with a big beautiful all teeth showing grin which would warm any girl's panties i blush furiously and feel the temperature in the room rise he takes me by the hand it's warm and his grip has a masculine feel it's not sweaty like mike's hands tend to be i look back at a wide eyed georgia and she shrugs he leads me to the outside couples ring stopping in an empty part of the floor he turns to face me i'll start out going backwards okay i nod and we position our arms my right hand in his left and his right hand at my waist my left hand finds his rock-hard shoulder to rest on i smile apprehensively ready he asks looking down at me my eyes are probably wide open in an i can't believe i've just agreed to do a two step kind of way wait i exclaim i only know the basics please don't do anything fancy he smiles he has a very nice smile i promise nothing fancy reluctantly i nod and we begin to move we're going in a counterclockwise circle and i'm trying hard to concentrate in fact i'm looking at our feet trying to make sure i don't screw up he remains his right hand for my waist places his fingers under my chin and lifts my head so that i'm looking at him i gasped slightly at the contact eyes up here he says fixing his intense gaze directly into my eyes and pointing with the same two fingers to his face when he has my attention he replaces his hand staring nervously into his kind eyes our feet step to the rhythm quick quick slow slow over and over again for the most part he takes it easy on me but there are a few times when i almost lose the rhythm and mass us both up luckily he's very patient not to mention he leads very well by the end of the dance i'm grinning broadly i'm doing it i'm actually doing a two step my heart is racing at the thought of the song coming to an end the nerve wracking two step is almost over but then our time together is almost finished to that thought is sobering thank you very much for the dance he says as the song ends then he gently lifts my hand to his mouth and plants a soft kiss on the back his lips linger there for longer than is customary when he lifts his eyes to meet mine my heart races again i feel my cheeks heat you're welcome my response is breathy and with that he walks me off the dance floor bows his head slightly and disappears into the crowd sydney you are doing a two step georgia looks shocked and with that gorgeous man no less,0
